"Sample","Ground_Truth","Predicted","Difference"
"GSM989827","67","67.0231291158081",0.0231291158081035
"GSM989828","89","85.1978720274656",-3.80212797253439
"GSM989829","66","76.0324501575054",10.0324501575054
"GSM989830","64","75.7659253346403",11.7659253346403
"GSM989831","62","70.9017869161382",8.90178691613821
"GSM989832","87","78.8984447258722",-8.1015552741278
"GSM989833","73","74.969709303005",1.969709303005
"GSM989834","75","75.2745899133412",0.274589913341202
"GSM989835","73","78.0876865332089",5.0876865332089
"GSM989836","83","79.2933767828784",-3.7066232171216
"GSM989837","82","83.7945742399362",1.7945742399362
"GSM989838","48","69.5446046372186",21.5446046372186
"GSM989839","77","78.3230073480683",1.3230073480683
"GSM989840","54","72.5997916349404",18.5997916349404
"GSM989841","63","68.1532235811435",5.15322358114349
"GSM989842","71","76.4141021175235",5.4141021175235
"GSM989843","68","76.7246579284526",8.7246579284526
"GSM989844","80","78.4971167981933",-1.5028832018067
"GSM989845","92","85.0182726926646",-6.9817273073354
"GSM989846","60","71.9220776384999",11.9220776384999
"GSM989847","79","77.8793472692988",-1.1206527307012
"GSM989848","68","82.2055824554895",14.2055824554895
"GSM989849","93","85.1978720274656",-7.80212797253439
"GSM989850","84","81.6277737903682",-2.3722262096318
"GSM989851","74","77.6055627508751",3.60556275087509
"GSM989852","74","81.2174711876304",7.21747118763039
"GSM989853","76","77.735946652647",1.735946652647
"GSM989854","56","83.4087855760186",27.4087855760186
"GSM989855","72","68.0733827018664",-3.92661729813361
"GSM989856","75","79.9780934583085",4.97809345830851
"GSM989857","79","82.4588872272494",3.45888722724941
"GSM989858","73","85.1978720274656",12.1978720274656
"GSM989859","82","77.703768232246",-4.29623176775399
"GSM989860","74","78.192619212864",4.192619212864
"GSM989861","79","85.1978720274656",6.19787202746561
"GSM989862","54","65.1475628449924",11.1475628449924
"GSM989863","101","85.1978720274656",-15.8021279725344
"GSM989864","79","81.8060539579116",2.8060539579116
"GSM989865","84","79.5748698086937",-4.42513019130629
"GSM989866","85","74.8210076735717",-10.1789923264283
"GSM989867","87","78.3675819814895",-8.63241801851051
"GSM989868","74","80.6135718836183",6.61357188361831
"GSM989869","77","76.2066545796453",-0.793345420354697
"GSM989870","73","85.1978720274656",12.1978720274656
"GSM989871","87","78.6277662896051",-8.37223371039489
"GSM989872","85","80.7521425660366",-4.2478574339634
"GSM989873","88","85.1978720274656",-2.80212797253439
"GSM989874","66","76.0999432332562",10.0999432332562
"GSM989875","78","82.3487503731663",4.3487503731663
"GSM989876","53","71.8286077174525",18.8286077174525
"GSM989877","76","77.3580097408216",1.3580097408216
"GSM989878","67","73.2396412391475",6.2396412391475
"GSM989879","73","76.7336977471473",3.7336977471473
"GSM989880","54","76.5629763817411",22.5629763817411
"GSM989881","73","76.4770236943096",3.47702369430959
"GSM989882","96","85.1978720274656",-10.8021279725344
"GSM989883","57","77.1555835576154",20.1555835576154
"GSM989884","76","78.9896997765132",2.98969977651321
"GSM989885","47","72.7201444233319",25.7201444233319
"GSM989886","54","72.605000263936",18.605000263936
"GSM989887","73","79.2958426991162",6.29584269911621
"GSM989888","84","77.0518172573288",-6.94818274267119
"GSM989889","62","20.9979079025862",-41.0020920974138
"GSM989890","89","81.5181491298886",-7.4818508701114
"GSM989891","68","84.7261607225231",16.7261607225231
"GSM989892","62","72.6552530987091",10.6552530987091
"GSM989893","79","76.0962707911901",-2.90372920880991
"GSM989894","72","73.8360960677984",1.83609606779839
"GSM989895","69","81.1259157346929",12.1259157346929
"GSM989896","55","52.4645084130276",-2.5354915869724
"GSM989897","73","78.4614052753963",5.4614052753963
"GSM989898","79","78.2053628297956",-0.794637170204396
"GSM989899","72","65.1515548728104",-6.84844512718961
"GSM989900","89","82.938756646748",-6.061243353252
"GSM989901","79","81.2874131647753",2.2874131647753
"GSM989902","85","77.8790761313642",-7.1209238686358
"GSM989903","68","77.5853845277599",9.5853845277599
"GSM989904","89","85.1978720274656",-3.80212797253439
"GSM989905","73","82.5161788387419",9.51617883874189
"GSM989906","63","65.3935345794082",2.3935345794082
"GSM989907","78","77.6183764213687",-0.381623578631306
"GSM989908","65","74.8562704225759",9.8562704225759
"GSM989909","65","78.296261064843",13.296261064843
"GSM989910","89","81.0119473980467",-7.9880526019533
"GSM989911","85","76.8399754914938",-8.1600245085062
"GSM989912","66","74.8138307980916",8.8138307980916
"GSM989913","76","82.0969940617283",6.0969940617283
