"Sample","Ground_Truth","Predicted","Difference"
"GSM989827","67","52.1606496004317",-14.8393503995683
"GSM989828","89","74.1009958548429",-14.8990041451571
"GSM989829","66","64.2310024014642",-1.7689975985358
"GSM989830","64","64.4885541442221",0.488554144222107
"GSM989831","62","63.0031063826594",1.0031063826594
"GSM989832","87","61.3651724581224",-25.6348275418776
"GSM989833","73","66.9737668040455",-6.0262331959545
"GSM989834","75","70.7784273880586",-4.2215726119414
"GSM989835","73","71.2413040747385",-1.75869592526151
"GSM989836","83","83.5269079218201",0.526907921820097
"GSM989837","82","70.6860972812117",-11.3139027187883
"GSM989838","48","46.9150898474223",-1.0849101525777
"GSM989839","77","84.2191795429709",7.21917954297091
"GSM989840","54","38.5224799383248",-15.4775200616752
"GSM989841","63","63.794828975133",0.794828975133001
"GSM989842","71","69.2093193323404",-1.7906806676596
"GSM989843","68","67.6860217336631",-0.313978266336903
"GSM989844","80","77.4070640519561",-2.5929359480439
"GSM989845","92","75.036955520198",-16.963044479802
"GSM989846","60","68.6591475889334",8.65914758893339
"GSM989847","79","64.4202762667009",-14.5797237332991
"GSM989848","68","86.2340751786039",18.2340751786039
"GSM989849","93","70.8089177494807",-22.1910822505193
"GSM989850","84","84.3631496984052",0.363149698405195
"GSM989851","74","68.1859005946593",-5.8140994053407
"GSM989852","74","61.6377034154915",-12.3622965845085
"GSM989853","76","71.592185643942",-4.407814356058
"GSM989854","56","45.738172643731",-10.261827356269
"GSM989855","72","60.5184867188251",-11.4815132811749
"GSM989856","75","63.1921163862991",-11.8078836137009
"GSM989857","79","57.1864366049713",-21.8135633950287
"GSM989858","73","82.1402848080519",9.1402848080519
"GSM989859","82","65.4781772283981",-16.5218227716019
"GSM989860","74","66.9446609344722",-7.0553390655278
"GSM989861","79","51.5708646240631",-27.4291353759369
"GSM989862","54","55.7057271880247",1.7057271880247
"GSM989863","101","82.9150814567795",-18.0849185432205
"GSM989864","79","76.6840429974753",-2.3159570025247
"GSM989865","84","75.9728343988774",-8.0271656011226
"GSM989866","85","70.9083172745075",-14.0916827254925
"GSM989867","87","76.2826651611861",-10.7173348388139
"GSM989868","74","69.8091605550413",-4.1908394449587
"GSM989869","77","68.4065527852979",-8.5934472147021
"GSM989870","73","103.506752316528",30.506752316528
"GSM989871","87","71.9232845567081",-15.0767154432919
"GSM989872","85","64.9625495662893",-20.0374504337107
"GSM989873","88","67.2396185459937",-20.7603814540063
"GSM989874","66","62.1694950302378",-3.8305049697622
"GSM989875","78","63.616763470214",-14.383236529786
"GSM989876","53","53.202129157556",0.202129157556001
"GSM989877","76","76.8424417596247",0.842441759624705
"GSM989878","67","51.9536661932862",-15.0463338067138
"GSM989879","73","76.0543415204836",3.0543415204836
"GSM989880","54","70.5190466423583",16.5190466423583
"GSM989881","73","62.5895605629483",-10.4104394370517
"GSM989882","96","75.2956662299145",-20.7043337700855
"GSM989883","57","61.840441478184",4.840441478184
"GSM989884","76","57.751479069004",-18.248520930996
"GSM989885","47","40.9792980619369",-6.0207019380631
"GSM989886","54","51.1318493366904",-2.8681506633096
"GSM989887","73","49.8551173218755",-23.1448826781245
"GSM989888","84","71.2592954500186",-12.7407045499814
"GSM989889","62","67.6865852726792",5.6865852726792
"GSM989890","89","78.6940108588252",-10.3059891411748
"GSM989891","68","71.3799458450005",3.37994584500051
"GSM989892","62","57.5191989059733",-4.4808010940267
"GSM989893","79","69.7922283315793",-9.2077716684207
"GSM989894","72","59.5004562580684",-12.4995437419316
"GSM989895","69","51.8592220590296",-17.1407779409704
"GSM989896","55","44.1352923037559",-10.8647076962441
"GSM989897","73","65.9637025998092",-7.0362974001908
"GSM989898","79","66.1417714804655",-12.8582285195345
"GSM989899","72","59.5141859479955",-12.4858140520045
"GSM989900","89","74.6447924373113",-14.3552075626887
"GSM989901","79","73.3726749801498",-5.6273250198502
"GSM989902","85","79.2496527099396",-5.7503472900604
"GSM989903","68","58.7699188888047",-9.2300811111953
"GSM989904","89","69.3532445020224",-19.6467554979776
"GSM989905","73","75.6503385001748",2.6503385001748
"GSM989906","63","55.184078464633",-7.815921535367
"GSM989907","78","64.2950385834305",-13.7049614165695
"GSM989908","65","62.3902408092056",-2.6097591907944
"GSM989909","65","60.315926740074",-4.684073259926
"GSM989910","89","75.818743239301",-13.181256760699
"GSM989911","85","69.1954088534337",-15.8045911465663
"GSM989912","66","44.8234093043388",-21.1765906956612
