"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
69,"rvmPoly",0.207489698944614,10.3361830456716,12.9807138610156,1,1,"full_before_split","split_separate"
70,"rvmRadial",0.248589930147606,9.89922905416747,12.582279316963,1,1,"full_before_split","split_separate"
71,"SBC",0.221735667770378,10.4226103725131,13.0094494208074,1,1,"full_before_split","split_separate"
72,"simpls",0.252559911039946,9.8918047669535,12.5849506689667,1,1,"full_before_split","split_separate"
73,"spikeslab",0.222796972313292,10.3145063524673,13.0454500574873,1,1,"full_before_split","split_separate"
74,"spls",0.221720101167397,10.3518601947598,12.923628732345,1,1,"full_before_split","split_separate"
75,"superpc",0.108253983506401,63.8563796602135,65.3003594872406,1,1,"full_before_split","split_separate"
76,"svmLinear",0.210396144234957,10.6593919261451,13.5566768185775,1,1,"full_before_split","split_separate"
77,"svmLinear2",0.211551471509928,10.6456149045457,13.5351604245237,1,1,"full_before_split","split_separate"
78,"svmLinear3",0.231531944650525,10.2181563524899,12.7226721118541,1,1,"full_before_split","split_separate"
79,"svmPoly",0.274501065743738,10.0321906238254,12.4855838614009,1,1,"full_before_split","split_separate"
80,"svmRadial",0.357136642301082,9.29232912362328,11.5990598853738,1,1,"full_before_split","split_separate"
81,"svmRadialCost",0.359951599964027,9.28993569943213,11.5725081754717,1,1,"full_before_split","split_separate"
82,"svmRadialSigma",0.357136642301082,9.29232912362328,11.5990598853738,1,1,"full_before_split","split_separate"
83,"treebag",0.309508425821374,9.72150162971158,12.0505628482243,1,1,"full_before_split","split_separate"
84,"widekernelpls",0.252559911039945,9.89180476695351,12.5849506689667,1,1,"full_before_split","split_separate"
85,"WM",0.149476208169662,11.6351472619551,14.6581094009301,1,1,"full_before_split","split_separate"
86,"xyf",0.0881845949856961,11.2831307897909,13.9646983776574,1,1,"full_before_split","split_separate"
