"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
59,"svmRadialSigma",0.0408938577079499,17.1674924913487,20.6579694379294,59,1,"full_before_split","split_separate"
60,"svmRadialSigma",0.000789253890794555,18.0597130523143,21.3440756805579,60,1,"full_before_split","split_separate"
61,"svmRadialSigma",0.0296662247442198,17.6923880463889,20.4212138975616,61,1,"full_before_split","split_separate"
62,"svmRadialSigma",0.00698019682427948,17.6711542921232,20.8159088869806,62,1,"full_before_split","split_separate"
63,"svmRadialSigma",0.00147606543906184,17.4134984033728,20.6459428695279,63,1,"full_before_split","split_separate"
64,"svmRadialSigma",0.00235380680469945,17.049681954587,20.4083150372931,64,1,"full_before_split","split_separate"
65,"svmRadialSigma",0.000352450636616664,17.7399876358856,20.9274867206329,65,1,"full_before_split","split_separate"
66,"svmRadialSigma",0.00135681557577966,18.1692629877839,21.4367337354792,66,1,"full_before_split","split_separate"
67,"svmRadialSigma",0.0205299511092732,17.8385364581072,20.8852195895677,67,1,"full_before_split","split_separate"
68,"svmRadialSigma",0.0110161937934917,17.7773256810802,20.5708414851192,68,1,"full_before_split","split_separate"
69,"svmRadialSigma",0.00845382273198275,17.6192110680512,20.8760253147013,69,1,"full_before_split","split_separate"
70,"svmRadialSigma",0.00652772833329295,18.1237204124804,21.301243979476,70,1,"full_before_split","split_separate"
71,"svmRadialSigma",0.00342716812469304,18.5779196276305,21.6768541465214,71,1,"full_before_split","split_separate"
72,"svmRadialSigma",0.00228311449492832,17.7439067135879,20.8141205267644,72,1,"full_before_split","split_separate"
73,"svmRadialSigma",0.00538966408961046,17.3963691740395,20.6291713127709,73,1,"full_before_split","split_separate"
74,"svmRadialSigma",0.00639730792787191,18.1661051209246,21.2553965407724,74,1,"full_before_split","split_separate"
75,"svmRadialSigma",0.0500001863170113,17.8752175290062,20.4888129544217,75,1,"full_before_split","split_separate"
76,"svmRadialSigma",0.00232082812072401,17.2861311734094,20.9056991335774,76,1,"full_before_split","split_separate"
77,"svmRadialSigma",4.5897572217429e-06,18.0179035988411,20.9936618524656,77,1,"full_before_split","split_separate"
78,"svmRadialSigma",0.0243082751307817,16.9528633765037,20.1645565833824,78,1,"full_before_split","split_separate"
79,"svmRadialSigma",0.063056628134529,17.3567701923653,20.3689503733072,79,1,"full_before_split","split_separate"
