Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
3578,3,cubist,0.9031997948,4.696669017,,,,,,,,,,
1691,3,cubist,0.9032718701,5.068882225,,,,,,,,,,
3945,3,cubist,0.9033088925,4.950148231,,,,,,,,,,
1291,3,cubist,0.9033492703,4.995732619,,,,,,,,,,
1476,3,cubist,0.9034174888,4.949603216,,,,,,,,,,
3037,3,cubist,0.9034738475,5.221857984,,,,,,,,,,
235,3,cubist,0.9035639927,4.91882494,,,,,,,,,,
2372,3,cubist,0.9036147162,5.11747858,,,,,,,,,,
1685,3,cubist,0.9036166586,4.961201959,,,,,,,,,,
962,3,cubist,0.903628259,5.165606749,,,,,,,,,,
2119,3,cubist,0.9036348142,4.914935328,,,,,,,,,,
1782,3,cubist,0.9036742652,4.884578265,,,,,,,,,,
847,3,cubist,0.9038147357,5.226516149,,,,,,,,,,
2794,3,cubist,0.9038434819,4.800004925,,,,,,,,,,
421,3,cubist,0.9038699608,4.864439917,,,,,,,,,,
2492,3,cubist,0.903905499,4.97155247,,,,,,,,,,
969,3,cubist,0.9039104737,5.091422899,,,,,,,,,,
3176,3,cubist,0.9040998185,4.778495958,,,,,,,,,,
1002,3,cubist,0.9041387131,5.174407621,,,,,,,,,,
3952,3,cubist,0.9041819457,4.635039079,,,,,,,,,,
886,3,cubist,0.9043146521,4.81392761,,,,,,,,,,
2563,3,cubist,0.9043554486,4.838672611,,,,,,,,,,
1300,3,cubist,0.9043838762,4.769865665,,,,,,,,,,
1507,3,cubist,0.904510458,5.228143482,,,,,,,,,,
3142,3,cubist,0.9046247105,5.156283277,,,,,,,,,,
2786,3,cubist,0.9046931601,4.974288041,,,,,,,,,,
3966,3,cubist,0.9046950262,4.935535681,,,,,,,,,,
3554,3,cubist,0.9047964677,5.089948654,,,,,,,,,,
3101,3,cubist,0.9048089993,4.798110874,,,,,,,,,,
510,3,cubist,0.9048126983,4.755978726,,,,,,,,,,
1001,3,cubist,0.9048176916,4.830755247,,,,,,,,,,
2938,3,cubist,0.9048278195,5.123832304,,,,,,,,,,
594,3,cubist,0.9049149941,4.930081225,,,,,,,,,,
979,3,cubist,0.904962491,5.094576382,,,,,,,,,,
1935,3,cubist,0.9049875306,4.789634678,,,,,,,,,,
27,3,cubist,0.9050759433,4.997217462,,,,,,,,,,
56,3,cubist,0.905114824,4.930597312,,,,,,,,,,
2879,3,cubist,0.9051231227,4.861087515,,,,,,,,,,
3300,3,cubist,0.9051240356,4.816446568,,,,,,,,,,
870,3,cubist,0.9051657983,4.757215703,,,,,,,,,,
2060,3,cubist,0.90517255,4.70822619,,,,,,,,,,
276,3,cubist,0.9051955799,5.023271642,,,,,,,,,,
249,3,cubist,0.9052228019,4.601121382,,,,,,,,,,
2376,3,cubist,0.9052564935,5.168447373,,,,,,,,,,
2241,3,cubist,0.9052841053,4.663310741,,,,,,,,,,
3788,3,cubist,0.9052995893,4.800885471,,,,,,,,,,
3861,3,cubist,0.9053070521,5.067080511,,,,,,,,,,
258,3,cubist,0.9053300018,5.124852634,,,,,,,,,,
223,3,cubist,0.9053341835,5.145972421,,,,,,,,,,
3391,3,cubist,0.9053545742,4.715626067,,,,,,,,,,
1305,3,cubist,0.9054002539,4.638195687,,,,,,,,,,
1192,3,cubist,0.9054914477,5.113271991,,,,,,,,,,
95,3,cubist,0.9054947594,5.055313016,,,,,,,,,,
57,3,cubist,0.9054999452,4.834535639,,,,,,,,,,
2921,3,cubist,0.9055026757,4.74514383,,,,,,,,,,
2718,3,cubist,0.9055333637,4.960643302,,,,,,,,,,
1594,3,cubist,0.9055543282,5.0924956,,,,,,,,,,
550,3,cubist,0.9055712051,4.863097664,,,,,,,,,,
3890,3,cubist,0.9057196137,4.95090068,,,,,,,,,,
346,3,cubist,0.9057404619,4.975233092,,,,,,,,,,
3255,3,cubist,0.9057800145,4.706993455,,,,,,,,,,
2023,3,cubist,0.9057956315,4.885470729,,,,,,,,,,
1526,3,cubist,0.905844046,5.177957792,,,,,,,,,,
3539,3,cubist,0.9059108943,4.810863826,,,,,,,,,,
478,3,cubist,0.9059140475,4.894423918,,,,,,,,,,
1905,3,cubist,0.9059642626,4.890424728,,,,,,,,,,
3188,3,cubist,0.9059731387,4.870290946,,,,,,,,,,
2269,3,cubist,0.9059880634,5.018740498,,,,,,,,,,
50,3,cubist,0.906038617,4.983457396,,,,,,,,,,
1196,3,cubist,0.906061327,4.818941083,,,,,,,,,,
2171,3,cubist,0.9060686706,4.992642301,,,,,,,,,,
3999,3,cubist,0.9060718664,5.044420256,,,,,,,,,,
2887,3,cubist,0.9060865134,4.53819256,,,,,,,,,,
1515,3,cubist,0.9061294131,4.939054827,,,,,,,,,,
1040,3,cubist,0.906163178,4.954793937,,,,,,,,,,
2237,3,cubist,0.9061659771,5.080108954,,,,,,,,,,
912,3,cubist,0.9061760736,4.926872362,,,,,,,,,,
3302,3,cubist,0.9061862116,5.213460726,,,,,,,,,,
3118,3,cubist,0.9061987737,4.860016593,,,,,,,,,,
3954,3,cubist,0.9062099955,4.900560656,,,,,,,,,,
61,3,cubist,0.9062242998,4.909070854,,,,,,,,,,
472,3,cubist,0.9062286796,4.64825457,,,,,,,,,,
1923,3,cubist,0.9062462406,4.801252122,,,,,,,,,,
3322,3,cubist,0.9062548635,4.730614554,,,,,,,,,,
1193,3,cubist,0.9062661422,4.936472074,,,,,,,,,,
2091,3,cubist,0.9063115445,4.640876256,,,,,,,,,,
492,3,cubist,0.906352958,4.700885847,,,,,,,,,,
2746,3,cubist,0.9063542821,4.933476786,,,,,,,,,,
3767,3,cubist,0.9063642986,5.123090386,,,,,,,,,,
2993,3,cubist,0.9063898915,4.86005148,,,,,,,,,,
2502,3,cubist,0.9064213608,4.834542254,,,,,,,,,,
2145,3,cubist,0.9064307563,4.63220992,,,,,,,,,,
588,3,cubist,0.9064325446,4.90092055,,,,,,,,,,
3136,3,cubist,0.9064451482,4.618258896,,,,,,,,,,
1904,3,cubist,0.9064894006,4.707869949,,,,,,,,,,
3921,3,cubist,0.9065235502,4.858701341,,,,,,,,,,
3524,3,cubist,0.9065486104,4.829935405,,,,,,,,,,
3791,3,cubist,0.9065522973,4.806453772,,,,,,,,,,
3389,3,cubist,0.9065523169,4.935328355,,,,,,,,,,
1135,3,cubist,0.9066034438,4.683463746,,,,,,,,,,
3329,3,cubist,0.9066811601,4.875312413,,,,,,,,,,
3390,3,cubist,0.9066884619,4.861918943,,,,,,,,,,
2562,3,cubist,0.9067297835,5.099263786,,,,,,,,,,
1966,3,cubist,0.9067519166,4.933919765,,,,,,,,,,
3579,3,cubist,0.906822033,4.609162439,,,,,,,,,,
3164,3,cubist,0.9068413556,4.711567513,,,,,,,,,,
1550,3,cubist,0.9068602787,4.748457652,,,,,,,,,,
1227,3,cubist,0.9068655626,4.678808348,,,,,,,,,,
1423,3,cubist,0.9069045454,4.587944098,,,,,,,,,,
3497,3,cubist,0.9069167293,4.665916396,,,,,,,,,,
2636,3,cubist,0.9069281195,4.647802664,,,,,,,,,,
1454,3,cubist,0.9069558435,4.567849558,,,,,,,,,,
848,3,cubist,0.9069581313,4.789531417,,,,,,,,,,
578,3,cubist,0.906962069,4.949212297,,,,,,,,,,
924,3,cubist,0.9069645023,4.756343923,,,,,,,,,,
570,3,cubist,0.9070181706,4.721893723,,,,,,,,,,
943,3,cubist,0.9070266055,4.938288804,,,,,,,,,,
2254,3,cubist,0.9070432106,4.759345589,,,,,,,,,,
1786,3,cubist,0.9070482317,5.005422991,,,,,,,,,,
3551,3,cubist,0.9070528355,4.973524533,,,,,,,,,,
2351,3,cubist,0.9070769913,5.136312126,,,,,,,,,,
2090,3,cubist,0.9070880332,4.878605491,,,,,,,,,,
2112,3,cubist,0.907108763,4.898249389,,,,,,,,,,
3038,3,cubist,0.9071148506,4.894701038,,,,,,,,,,
3394,3,cubist,0.9071203008,4.914049392,,,,,,,,,,
955,3,cubist,0.9071436272,4.891514825,,,,,,,,,,
1506,3,cubist,0.9071775957,4.934429405,,,,,,,,,,
1223,3,cubist,0.9071837316,4.946026721,,,,,,,,,,
1116,3,cubist,0.907243631,5.0427342,,,,,,,,,,
255,3,cubist,0.9072714931,4.843700091,,,,,,,,,,
1117,3,cubist,0.9072816328,4.591949679,,,,,,,,,,
2230,3,cubist,0.9073052731,4.677013208,,,,,,,,,,
3559,3,cubist,0.9073178978,4.864394885,,,,,,,,,,
1983,3,cubist,0.9073340537,4.783853592,,,,,,,,,,
2851,3,cubist,0.9073463758,4.906275749,,,,,,,,,,
1532,3,cubist,0.9073464966,4.712036234,,,,,,,,,,
1784,3,cubist,0.9073543465,4.705214257,,,,,,,,,,
3620,3,cubist,0.9074039621,5.072236893,,,,,,,,,,
1566,3,cubist,0.9074059973,4.760448266,,,,,,,,,,
1886,3,cubist,0.9074101253,4.598163537,,,,,,,,,,
1777,3,cubist,0.9074359775,4.910546709,,,,,,,,,,
2615,3,cubist,0.9074472746,4.80049134,,,,,,,,,,
1121,3,cubist,0.9074712607,5.002993841,,,,,,,,,,
3976,3,cubist,0.9074742144,4.676450648,,,,,,,,,,
3052,3,cubist,0.9074801975,4.9977534,,,,,,,,,,
48,3,cubist,0.9074844337,4.906378962,,,,,,,,,,
2504,3,cubist,0.9074976336,5.005781451,,,,,,,,,,
2183,3,cubist,0.9075000315,4.903635945,,,,,,,,,,
372,3,cubist,0.9075194745,5.020510295,,,,,,,,,,
340,3,cubist,0.9075436591,4.853802187,,,,,,,,,,
2524,3,cubist,0.9076081031,4.867530931,,,,,,,,,,
1464,3,cubist,0.9076912108,4.706643585,,,,,,,,,,
1149,3,cubist,0.9077013839,4.709945151,,,,,,,,,,
2575,3,cubist,0.9077422696,4.70425317,,,,,,,,,,
692,3,cubist,0.9077487246,4.995336641,,,,,,,,,,
1365,3,cubist,0.9077587713,4.667483391,,,,,,,,,,
1835,3,cubist,0.9077676498,4.83505247,,,,,,,,,,
365,3,cubist,0.9077763378,4.901698025,,,,,,,,,,
2441,3,cubist,0.9077996579,4.972094962,,,,,,,,,,
678,3,cubist,0.907805347,4.887890498,,,,,,,,,,
1649,3,cubist,0.9078279556,4.934860439,,,,,,,,,,
2423,3,cubist,0.9078648085,4.959083902,,,,,,,,,,
3585,3,cubist,0.9078803382,4.683409664,,,,,,,,,,
2088,3,cubist,0.9078857067,4.689779072,,,,,,,,,,
1328,3,cubist,0.9078876235,4.646541954,,,,,,,,,,
1960,3,cubist,0.9078881329,4.887965081,,,,,,,,,,
2323,3,cubist,0.9078927137,4.944802967,,,,,,,,,,
3137,3,cubist,0.9079072071,4.815796825,,,,,,,,,,
3060,3,cubist,0.9079290046,4.953292116,,,,,,,,,,
2205,3,cubist,0.9079504084,4.97304752,,,,,,,,,,
3776,3,cubist,0.9080093899,4.782106893,,,,,,,,,,
2923,3,cubist,0.9080154551,4.966069593,,,,,,,,,,
729,3,cubist,0.9080197198,4.892545233,,,,,,,,,,
1824,3,cubist,0.9080329972,4.739665525,,,,,,,,,,
