Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
822,45,cubist,0.6889765432,9.007711417,,,,,,,,,,
3264,45,cubist,0.6890788114,8.694471325,,,,,,,,,,
2051,45,cubist,0.6894330588,8.391975991,,,,,,,,,,
3911,45,cubist,0.6895705478,8.80026607,,,,,,,,,,
3040,45,cubist,0.6896011257,8.247977866,,,,,,,,,,
1529,45,cubist,0.6896366568,8.660111076,,,,,,,,,,
3344,45,cubist,0.6899116838,8.569388552,,,,,,,,,,
3336,45,cubist,0.6899468441,8.945740081,,,,,,,,,,
569,45,cubist,0.689953356,8.578897145,,,,,,,,,,
2979,45,cubist,0.6899632061,8.518975461,,,,,,,,,,
56,45,cubist,0.6901981935,8.429231725,,,,,,,,,,
480,45,cubist,0.6905815066,8.891019686,,,,,,,,,,
3683,45,cubist,0.6906259676,8.664664228,,,,,,,,,,
3733,45,cubist,0.6906434789,8.593747146,,,,,,,,,,
38,45,cubist,0.6908107926,8.561576722,,,,,,,,,,
79,45,cubist,0.6913679994,8.72017928,,,,,,,,,,
2829,45,cubist,0.6914735158,8.623390935,,,,,,,,,,
1364,45,cubist,0.6914841958,8.294268209,,,,,,,,,,
2393,45,cubist,0.6915393987,8.81469289,,,,,,,,,,
849,45,cubist,0.6915432709,8.424722651,,,,,,,,,,
3882,45,cubist,0.6917089301,8.202223365,,,,,,,,,,
1047,45,cubist,0.6920491137,9.023425894,,,,,,,,,,
2707,45,cubist,0.6921342566,8.741440888,,,,,,,,,,
165,45,cubist,0.6921574782,8.695416565,,,,,,,,,,
2520,45,cubist,0.6924681173,8.935311845,,,,,,,,,,
1695,45,cubist,0.69261756,8.829585495,,,,,,,,,,
11,45,cubist,0.6926372145,8.254844016,,,,,,,,,,
2073,45,cubist,0.6926530907,8.71892321,,,,,,,,,,
2468,45,cubist,0.6926934817,8.584020878,,,,,,,,,,
1600,45,cubist,0.6928209882,8.002074959,,,,,,,,,,
2879,45,cubist,0.6928906854,8.440567186,,,,,,,,,,
860,45,cubist,0.6929444135,8.299895604,,,,,,,,,,
3652,45,cubist,0.6933294395,8.753260944,,,,,,,,,,
266,45,cubist,0.6933479978,9.044332166,,,,,,,,,,
3286,45,cubist,0.6934267108,8.875602905,,,,,,,,,,
84,45,cubist,0.6935551549,8.466033415,,,,,,,,,,
3848,45,cubist,0.6938603935,8.744723347,,,,,,,,,,
1036,45,cubist,0.694226792,8.585602564,,,,,,,,,,
2331,45,cubist,0.6945899094,8.481838882,,,,,,,,,,
2640,45,cubist,0.6945923018,8.673135663,,,,,,,,,,
3621,45,cubist,0.6953119188,8.323682873,,,,,,,,,,
1743,45,cubist,0.6953876399,8.891635394,,,,,,,,,,
505,45,cubist,0.6954789479,8.707778396,,,,,,,,,,
919,45,cubist,0.6958129725,8.666447261,,,,,,,,,,
3721,45,cubist,0.6960307097,7.611814546,,,,,,,,,,
767,45,cubist,0.6961632256,9.187399759,,,,,,,,,,
324,45,cubist,0.6962033363,9.073658615,,,,,,,,,,
1138,45,cubist,0.6964939647,8.946040681,,,,,,,,,,
1843,45,cubist,0.6967683133,8.932942587,,,,,,,,,,
716,45,cubist,0.6970825507,8.582273808,,,,,,,,,,
294,45,cubist,0.6970975261,8.585186728,,,,,,,,,,
3254,45,cubist,0.6972498384,8.750878997,,,,,,,,,,
1068,45,cubist,0.6973299425,8.668693509,,,,,,,,,,
3240,45,cubist,0.697395131,8.466274721,,,,,,,,,,
2951,45,cubist,0.6975008793,8.90892764,,,,,,,,,,
316,45,cubist,0.6975621592,8.370451589,,,,,,,,,,
655,45,cubist,0.6976826821,8.82021204,,,,,,,,,,
461,45,cubist,0.6977095432,8.161547681,,,,,,,,,,
3937,45,cubist,0.6978524457,8.441095109,,,,,,,,,,
365,45,cubist,0.6978774257,8.886139227,,,,,,,,,,
349,45,cubist,0.6979383575,8.396624687,,,,,,,,,,
3954,45,cubist,0.698220855,8.281873711,,,,,,,,,,
1991,45,cubist,0.6983842176,8.866442417,,,,,,,,,,
3499,45,cubist,0.6984434551,8.488112443,,,,,,,,,,
736,45,cubist,0.6984581403,8.489207924,,,,,,,,,,
809,45,cubist,0.6984721001,9.029590072,,,,,,,,,,
2584,45,cubist,0.6986088957,8.402312062,,,,,,,,,,
3177,45,cubist,0.6987351016,8.610606924,,,,,,,,,,
24,45,cubist,0.6992609413,8.156242073,,,,,,,,,,
3023,45,cubist,0.6993187807,8.458316614,,,,,,,,,,
3822,45,cubist,0.6996248367,8.390432804,,,,,,,,,,
3956,45,cubist,0.6997122479,8.842886637,,,,,,,,,,
1183,45,cubist,0.6997698545,8.544461041,,,,,,,,,,
2545,45,cubist,0.6999431247,8.857256653,,,,,,,,,,
456,45,cubist,0.700099428,8.482211377,,,,,,,,,,
1220,45,cubist,0.700101999,8.598216794,,,,,,,,,,
2614,45,cubist,0.7001372411,8.467922833,,,,,,,,,,
3235,45,cubist,0.7002634533,8.188073138,,,,,,,,,,
19,45,cubist,0.7003359492,8.353254589,,,,,,,,,,
10,45,cubist,0.7004609318,9.169893515,,,,,,,,,,
1203,45,cubist,0.7006260558,9.187322508,,,,,,,,,,
3962,45,cubist,0.7008492519,8.31399735,,,,,,,,,,
422,45,cubist,0.7010407323,9.041914967,,,,,,,,,,
948,45,cubist,0.7012729049,8.760880098,,,,,,,,,,
1142,45,cubist,0.7013625449,8.476126306,,,,,,,,,,
2306,45,cubist,0.7014094844,9.013794207,,,,,,,,,,
3333,45,cubist,0.7014530838,8.627731655,,,,,,,,,,
2171,45,cubist,0.7016697309,8.433700257,,,,,,,,,,
2255,45,cubist,0.7017485223,8.457091271,,,,,,,,,,
68,45,cubist,0.7019870131,8.776930694,,,,,,,,,,
1742,45,cubist,0.7021098114,8.072893166,,,,,,,,,,
2777,45,cubist,0.7022478431,8.763292292,,,,,,,,,,
3741,45,cubist,0.7024581402,8.211317637,,,,,,,,,,
1639,45,cubist,0.7026337131,8.862009441,,,,,,,,,,
1661,45,cubist,0.70268882,8.772670286,,,,,,,,,,
600,45,cubist,0.7027457934,7.980383339,,,,,,,,,,
950,45,cubist,0.7028456337,8.783332568,,,,,,,,,,
3757,45,cubist,0.7029341583,8.404998965,,,,,,,,,,
1256,45,cubist,0.7029802731,8.348845252,,,,,,,,,,
2805,45,cubist,0.7030618529,8.270750573,,,,,,,,,,
2843,45,cubist,0.7031759986,8.227894993,,,,,,,,,,
3252,45,cubist,0.7032244367,8.128445118,,,,,,,,,,
398,45,cubist,0.7035081463,8.529720651,,,,,,,,,,
3370,45,cubist,0.7036214452,8.285306531,,,,,,,,,,
2981,45,cubist,0.7036372342,8.50001885,,,,,,,,,,
2158,45,cubist,0.7039065467,8.497926983,,,,,,,,,,
1337,45,cubist,0.7040912522,7.986208774,,,,,,,,,,
2467,45,cubist,0.7041167384,8.089657709,,,,,,,,,,
700,45,cubist,0.7041359551,8.510215435,,,,,,,,,,
3183,45,cubist,0.7044767162,8.356593509,,,,,,,,,,
2334,45,cubist,0.7045913332,8.556207728,,,,,,,,,,
2852,45,cubist,0.7046858291,8.597699896,,,,,,,,,,
3140,45,cubist,0.7047410359,8.440312805,,,,,,,,,,
2072,45,cubist,0.7048434644,8.501657094,,,,,,,,,,
924,45,cubist,0.7049189769,8.814644218,,,,,,,,,,
523,45,cubist,0.704959436,8.305220888,,,,,,,,,,
2832,45,cubist,0.7050433546,8.345357854,,,,,,,,,,
1527,45,cubist,0.7050532104,8.464767148,,,,,,,,,,
2301,45,cubist,0.7051638416,8.234922382,,,,,,,,,,
2694,45,cubist,0.7052122576,8.670349967,,,,,,,,,,
3056,45,cubist,0.7054630018,8.472527775,,,,,,,,,,
792,45,cubist,0.705644645,8.500195192,,,,,,,,,,
1212,45,cubist,0.705812051,8.657714242,,,,,,,,,,
391,45,cubist,0.7059973297,8.426363147,,,,,,,,,,
3678,45,cubist,0.7060072098,8.826760421,,,,,,,,,,
3612,45,cubist,0.7060110816,8.427858901,,,,,,,,,,
156,45,cubist,0.7060722146,8.802296111,,,,,,,,,,
876,45,cubist,0.7061708835,8.623163636,,,,,,,,,,
3585,45,cubist,0.7062177229,8.837371082,,,,,,,,,,
2251,45,cubist,0.7062286577,8.6364256,,,,,,,,,,
3004,45,cubist,0.7062287582,8.546478299,,,,,,,,,,
3055,45,cubist,0.7063072626,8.702266869,,,,,,,,,,
2487,45,cubist,0.7063252972,8.70981606,,,,,,,,,,
3572,45,cubist,0.7063877477,8.091885621,,,,,,,,,,
2571,45,cubist,0.7064378184,8.160529671,,,,,,,,,,
3513,45,cubist,0.7064881563,8.641563842,,,,,,,,,,
1305,45,cubist,0.7065430492,8.267319605,,,,,,,,,,
2744,45,cubist,0.7067419496,8.174861678,,,,,,,,,,
1509,45,cubist,0.7068513799,8.41431429,,,,,,,,,,
996,45,cubist,0.7069245332,8.611064444,,,,,,,,,,
3049,45,cubist,0.7071424298,8.322444375,,,,,,,,,,
2953,45,cubist,0.707183767,8.884217269,,,,,,,,,,
2281,45,cubist,0.7072190506,8.399899713,,,,,,,,,,
3142,45,cubist,0.7072558864,8.638217885,,,,,,,,,,
999,45,cubist,0.7072676105,8.391572202,,,,,,,,,,
3680,45,cubist,0.7073177334,8.905394487,,,,,,,,,,
2555,45,cubist,0.7073243925,8.851281511,,,,,,,,,,
2300,45,cubist,0.7074243834,8.316621882,,,,,,,,,,
1176,45,cubist,0.7074397656,8.8084726,,,,,,,,,,
3134,45,cubist,0.707847448,8.291953351,,,,,,,,,,
3113,45,cubist,0.7078824743,8.040024541,,,,,,,,,,
347,45,cubist,0.7079251374,8.117838975,,,,,,,,,,
3876,45,cubist,0.7079835067,8.987074561,,,,,,,,,,
3005,45,cubist,0.7080356242,7.89147051,,,,,,,,,,
3912,45,cubist,0.7080532217,8.701409061,,,,,,,,,,
3524,45,cubist,0.7080907383,8.145564191,,,,,,,,,,
1524,45,cubist,0.7081366635,8.620727458,,,,,,,,,,
1644,45,cubist,0.7081376867,8.92099578,,,,,,,,,,
3147,45,cubist,0.708160364,8.318045413,,,,,,,,,,
53,45,cubist,0.7084094524,8.463965639,,,,,,,,,,
2364,45,cubist,0.708434904,8.482669012,,,,,,,,,,
517,45,cubist,0.7084488095,8.363921125,,,,,,,,,,
488,45,cubist,0.7084816843,8.713181313,,,,,,,,,,
1049,45,cubist,0.7085554834,8.531199618,,,,,,,,,,
1842,45,cubist,0.708596452,8.593849737,,,,,,,,,,
802,45,cubist,0.7087413558,8.887519515,,,,,,,,,,
3105,45,cubist,0.7089080055,8.014758482,,,,,,,,,,
3607,45,cubist,0.709066721,8.501703858,,,,,,,,,,
2871,45,cubist,0.7090832304,8.647634026,,,,,,,,,,
2019,45,cubist,0.7091027445,8.367165866,,,,,,,,,,
1434,45,cubist,0.7091100238,8.554953494,,,,,,,,,,
2180,45,cubist,0.7092230826,8.520738236,,,,,,,,,,
1883,45,cubist,0.7093135361,8.396072124,,,,,,,,,,
1218,45,cubist,0.7093595018,8.354139314,,,,,,,,,,
252,45,cubist,0.7095621159,8.241777704,,,,,,,,,,
2711,45,cubist,0.709787346,8.430490014,,,,,,,,,,
1570,45,cubist,0.7098218008,8.434424657,,,,,,,,,,
1799,45,cubist,0.7099468729,8.715683937,,,,,,,,,,
2900,45,cubist,0.7099762627,8.173582774,,,,,,,,,,
377,45,cubist,0.7100461946,8.467124195,,,,,,,,,,
1006,45,cubist,0.7100775357,8.406795285,,,,,,,,,,
3933,45,cubist,0.7101043195,8.139036185,,,,,,,,,,
1913,45,cubist,0.7104117428,8.375152906,,,,,,,,,,
2967,45,cubist,0.7105098734,8.617852624,,,,,,,,,,
2173,45,cubist,0.7106080307,8.62607218,,,,,,,,,,
1589,45,cubist,0.7106192606,8.355924796,,,,,,,,,,
3008,45,cubist,0.7107687101,8.611212548,,,,,,,,,,
2916,45,cubist,0.7109393191,8.949564501,,,,,,,,,,
3071,45,cubist,0.7111035286,8.402974704,,,,,,,,,,
1954,45,cubist,0.7111412469,8.356173695,,,,,,,,,,
191,45,cubist,0.7111892688,8.702370089,,,,,,,,,,
48,45,cubist,0.7112240841,8.703965999,,,,,,,,,,
2201,45,cubist,0.7112491151,8.026333126,,,,,,,,,,
1543,45,cubist,0.7114229489,8.606014184,,,,,,,,,,
604,45,cubist,0.7116182109,8.659325985,,,,,,,,,,
2531,45,cubist,0.7116332017,8.557112931,,,,,,,,,,
1788,45,cubist,0.7117451411,8.38566703,,,,,,,,,,
1339,45,cubist,0.7120060465,8.702620283,,,,,,,,,,
3168,45,cubist,0.7120948725,8.20476764,,,,,,,,,,
2207,45,cubist,0.7121620772,8.483362468,,,,,,,,,,
1178,45,cubist,0.7123019864,8.257869125,,,,,,,,,,
1255,45,cubist,0.7123184696,8.43801378,,,,,,,,,,
280,45,cubist,0.7123344691,8.609951581,,,,,,,,,,
1432,45,cubist,0.7123679417,8.238997953,,,,,,,,,,
3648,45,cubist,0.7124587931,8.740314626,,,,,,,,,,
880,45,cubist,0.7125154606,8.538338857,,,,,,,,,,
3332,45,cubist,0.712529854,8.230843869,,,,,,,,,,
918,45,cubist,0.7126631306,8.650575388,,,,,,,,,,
83,45,cubist,0.7127413648,8.476413781,,,,,,,,,,
606,45,cubist,0.712809459,8.587086148,,,,,,,,,,
45,45,cubist,0.7128299444,8.927606374,,,,,,,,,,
2043,45,cubist,0.7128846156,7.844664114,,,,,,,,,,
1369,45,cubist,0.7128880853,8.224386215,,,,,,,,,,
998,45,cubist,0.7130183866,8.125810556,,,,,,,,,,
302,45,cubist,0.71310619,8.43946881,,,,,,,,,,
271,45,cubist,0.7131446605,8.701621029,,,,,,,,,,
2899,45,cubist,0.713389181,8.157797671,,,,,,,,,,
601,45,cubist,0.7134147629,8.629836509,,,,,,,,,,
2524,45,cubist,0.7134860877,8.301776697,,,,,,,,,,
1666,45,cubist,0.713597694,8.258391428,,,,,,,,,,
1245,45,cubist,0.7136526456,8.362456971,,,,,,,,,,
138,45,cubist,0.7138389473,8.379372171,,,,,,,,,,
3432,45,cubist,0.7139174631,8.83825457,,,,,,,,,,
883,45,cubist,0.7139440304,8.275954321,,,,,,,,,,
1452,45,cubist,0.7139963779,8.356194922,,,,,,,,,,
3226,45,cubist,0.7140257988,8.19070973,,,,,,,,,,
3676,45,cubist,0.7143127117,7.931774004,,,,,,,,,,
2119,45,cubist,0.7143419474,8.294140971,,,,,,,,,,
1590,45,cubist,0.7143572975,8.680084418,,,,,,,,,,
3541,45,cubist,0.7143778071,8.182013332,,,,,,,,,,
189,45,cubist,0.7143928415,8.654039765,,,,,,,,,,
1135,45,cubist,0.714615408,8.668757709,,,,,,,,,,
2599,45,cubist,0.7146532401,8.611709142,,,,,,,,,,
3886,45,cubist,0.7147182053,8.311695968,,,,,,,,,,
2181,45,cubist,0.7147325922,8.920698802,,,,,,,,,,
