Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8665570542,6.055763946,7.948059233,1931,1,full_before_split,split_separate
bagEarth,0.8663759441,6.073575935,7.685222263,2540,1,full_before_split,split_separate
bagEarth,0.8663041811,6.187352773,7.557332871,1110,1,full_before_split,split_separate
bagEarth,0.8662255438,5.836786304,7.883090774,2225,1,full_before_split,split_separate
bagEarth,0.8658793303,6.081770246,7.711637762,2463,1,full_before_split,split_separate
bagEarth,0.8658200486,6.06953044,7.916279237,1002,1,full_before_split,split_separate
bagEarth,0.865738205,5.859755504,7.578151123,116,1,full_before_split,split_separate
bagEarth,0.865693313,6.023890967,7.426566499,678,1,full_before_split,split_separate
bagEarth,0.8656881774,6.278524684,7.695657806,2833,1,full_before_split,split_separate
bagEarth,0.865680169,6.435578205,7.866799271,2338,1,full_before_split,split_separate
bagEarth,0.8655544632,6.420772203,8.147846736,1017,1,full_before_split,split_separate
bagEarth,0.8653043073,6.221342846,7.871075897,3980,1,full_before_split,split_separate
bagEarth,0.8652202892,6.351843238,8.180471525,3845,1,full_before_split,split_separate
bagEarth,0.8652131516,6.207042267,7.933263929,2742,1,full_before_split,split_separate
bagEarth,0.8652019279,6.252204442,7.980373641,2836,1,full_before_split,split_separate
bagEarth,0.8650240465,6.12758913,7.860593029,1412,1,full_before_split,split_separate
bagEarth,0.8649785974,6.360972809,7.98196306,1750,1,full_before_split,split_separate
bagEarth,0.8649087797,6.524979521,8.075848839,3420,1,full_before_split,split_separate
bagEarth,0.8647731613,6.026062987,7.872899993,347,1,full_before_split,split_separate
bagEarth,0.8647163021,6.324796033,7.931356715,1979,1,full_before_split,split_separate
bagEarth,0.8646771646,6.368223315,8.056144333,2506,1,full_before_split,split_separate
bagEarth,0.8646574723,6.104708429,7.909958767,1237,1,full_before_split,split_separate
bagEarth,0.8645836603,6.176829224,7.914494662,936,1,full_before_split,split_separate
bagEarth,0.8645686593,6.126947466,7.764344337,3176,1,full_before_split,split_separate
bagEarth,0.8644295448,6.293456339,7.835442384,2020,1,full_before_split,split_separate
bagEarth,0.8643875293,6.428725391,8.149182087,292,1,full_before_split,split_separate
bagEarth,0.8642308846,5.983693147,7.867212476,3092,1,full_before_split,split_separate
bagEarth,0.8642194037,6.241395956,8.132337102,3812,1,full_before_split,split_separate
bagEarth,0.8641946147,6.286016187,8.003963064,1635,1,full_before_split,split_separate
bagEarth,0.8641147065,6.234882549,7.969820511,3203,1,full_before_split,split_separate
bagEarth,0.8641074388,5.862031548,7.686399758,505,1,full_before_split,split_separate
bagEarth,0.8640850735,6.413508083,8.000027012,2765,1,full_before_split,split_separate
bagEarth,0.8640292635,6.056360646,7.859938525,3104,1,full_before_split,split_separate
bagEarth,0.8639365013,5.984302593,7.67489069,2582,1,full_before_split,split_separate
bagEarth,0.863801438,6.316342226,7.896732171,3912,1,full_before_split,split_separate
bagEarth,0.8637228475,6.220939609,7.84487016,2712,1,full_before_split,split_separate
bagEarth,0.8637194764,6.537673172,7.928530247,3129,1,full_before_split,split_separate
bagEarth,0.8636932094,6.388238465,7.979937374,1275,1,full_before_split,split_separate
bagEarth,0.8636502912,6.203560484,7.689477597,1745,1,full_before_split,split_separate
bagEarth,0.8636319651,6.720821044,8.125358699,1129,1,full_before_split,split_separate
bagEarth,0.8636067929,6.481185107,7.98067876,681,1,full_before_split,split_separate
bagEarth,0.8635845906,5.896489943,7.917592239,2662,1,full_before_split,split_separate
bagEarth,0.8635193622,6.467815317,7.896875234,2594,1,full_before_split,split_separate
bagEarth,0.8631865305,6.208451073,8.013216755,2952,1,full_before_split,split_separate
bagEarth,0.8631504075,6.296570682,7.861595962,2032,1,full_before_split,split_separate
bagEarth,0.8630768621,6.096148129,7.844668343,2679,1,full_before_split,split_separate
bagEarth,0.8630055108,6.095203022,7.645678571,2861,1,full_before_split,split_separate
bagEarth,0.8628363676,6.196771241,8.015026426,2270,1,full_before_split,split_separate
bagEarth,0.8627794699,6.057028657,7.780321657,1358,1,full_before_split,split_separate
bagEarth,0.8627155039,6.227225015,7.89007341,3825,1,full_before_split,split_separate
bagEarth,0.8626987629,6.349374578,8.0194833,3231,1,full_before_split,split_separate
bagEarth,0.8626630805,6.077942309,7.930522852,3059,1,full_before_split,split_separate
bagEarth,0.8626501351,6.228434463,8.077120729,86,1,full_before_split,split_separate
bagEarth,0.862649598,6.002453721,7.744317017,3680,1,full_before_split,split_separate
bagEarth,0.8625881189,6.051252849,7.88652177,3657,1,full_before_split,split_separate
bagEarth,0.8624594727,6.411327872,7.93674353,3815,1,full_before_split,split_separate
bagEarth,0.8624491135,6.198770351,7.80605674,448,1,full_before_split,split_separate
bagEarth,0.8623574237,6.104274865,7.723806771,2593,1,full_before_split,split_separate
bagEarth,0.8623513671,6.112325054,7.885268843,3775,1,full_before_split,split_separate
bagEarth,0.8622654597,6.431774911,8.178786862,2663,1,full_before_split,split_separate
bagEarth,0.8621525074,6.366072339,8.180179496,439,1,full_before_split,split_separate
bagEarth,0.8619450744,6.230994098,8.121877722,2326,1,full_before_split,split_separate
bagEarth,0.8617867053,6.545043287,7.91232284,2920,1,full_before_split,split_separate
bagEarth,0.8617514183,6.338882701,8.055655004,1686,1,full_before_split,split_separate
bagEarth,0.8617387833,6.482199976,8.13724926,1037,1,full_before_split,split_separate
bagEarth,0.8617220193,6.631782547,8.041699758,1694,1,full_before_split,split_separate
bagEarth,0.8616070665,6.028847566,7.962666659,2620,1,full_before_split,split_separate
bagEarth,0.8615916336,6.616895971,8.392725125,3612,1,full_before_split,split_separate
bagEarth,0.8614117129,6.131333533,7.939453782,3785,1,full_before_split,split_separate
bagEarth,0.8613515962,6.137120518,8.012734476,1823,1,full_before_split,split_separate
bagEarth,0.8613116498,6.490963736,7.861094582,893,1,full_before_split,split_separate
bagEarth,0.8611360558,6.077097441,7.96840024,1308,1,full_before_split,split_separate
bagEarth,0.8610787339,6.379353617,7.940396659,672,1,full_before_split,split_separate
bagEarth,0.8610241322,6.415600004,7.991885223,273,1,full_before_split,split_separate
bagEarth,0.8609477998,6.244197111,7.903849792,200,1,full_before_split,split_separate
bagEarth,0.8608812854,6.526119499,8.039126411,2944,1,full_before_split,split_separate
bagEarth,0.860713804,6.06905252,8.010805281,1343,1,full_before_split,split_separate
bagEarth,0.8606910856,6.350342651,7.821833476,1593,1,full_before_split,split_separate
