Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
732,1,svmLinear3,0.7078158957,8.452756003,,,,,,,,,,
1253,1,svmLinear3,0.707829732,8.626729557,,,,,,,,,,
3793,1,svmLinear3,0.7081432687,8.656747646,,,,,,,,,,
1534,1,svmLinear3,0.7081941854,8.72778707,,,,,,,,,,
822,1,svmLinear3,0.7088339301,8.842829674,,,,,,,,,,
1764,1,svmLinear3,0.7088345077,8.676822521,,,,,,,,,,
2214,1,svmLinear3,0.7088784587,8.634187442,,,,,,,,,,
717,1,svmLinear3,0.7088882903,8.734862351,,,,,,,,,,
2495,1,svmLinear3,0.7089890221,8.481489395,,,,,,,,,,
1068,1,svmLinear3,0.7092618775,8.647407693,,,,,,,,,,
3824,1,svmLinear3,0.7099303237,8.472659934,,,,,,,,,,
197,1,svmLinear3,0.7100704573,8.375167043,,,,,,,,,,
3137,1,svmLinear3,0.7101520073,8.648318393,,,,,,,,,,
343,1,svmLinear3,0.7102082871,8.56523238,,,,,,,,,,
3371,1,svmLinear3,0.7103408914,8.446858021,,,,,,,,,,
3825,1,svmLinear3,0.7105011597,8.537180507,,,,,,,,,,
2213,1,svmLinear3,0.7106015473,8.615190061,,,,,,,,,,
3848,1,svmLinear3,0.7106790792,8.841601767,,,,,,,,,,
765,1,svmLinear3,0.7109660536,8.675788692,,,,,,,,,,
2690,1,svmLinear3,0.7112293886,8.478152709,,,,,,,,,,
843,1,svmLinear3,0.7113324212,8.375673656,,,,,,,,,,
1733,1,svmLinear3,0.7114138458,8.98160135,,,,,,,,,,
3989,1,svmLinear3,0.7117676297,8.563558829,,,,,,,,,,
1354,1,svmLinear3,0.711880122,9.089601233,,,,,,,,,,
1543,1,svmLinear3,0.7119730939,9.181932849,,,,,,,,,,
3683,1,svmLinear3,0.7120132541,8.387929075,,,,,,,,,,
3951,1,svmLinear3,0.7121162661,8.442264379,,,,,,,,,,
3310,1,svmLinear3,0.7121443058,8.53411713,,,,,,,,,,
1036,1,svmLinear3,0.7121550604,8.460623406,,,,,,,,,,
3886,1,svmLinear3,0.7123937467,8.3942356,,,,,,,,,,
2215,1,svmLinear3,0.7124553917,8.511752249,,,,,,,,,,
2166,1,svmLinear3,0.7124732448,8.940212492,,,,,,,,,,
870,1,svmLinear3,0.7125851331,8.183388919,,,,,,,,,,
84,1,svmLinear3,0.7126456715,8.525294404,,,,,,,,,,
2619,1,svmLinear3,0.7127722703,8.260810428,,,,,,,,,,
3286,1,svmLinear3,0.7130506184,8.773582814,,,,,,,,,,
2517,1,svmLinear3,0.7131373961,8.669181272,,,,,,,,,,
2263,1,svmLinear3,0.7131745829,8.896320983,,,,,,,,,,
3634,1,svmLinear3,0.7131828619,9.001960331,,,,,,,,,,
612,1,svmLinear3,0.7131923168,8.378755103,,,,,,,,,,
3499,1,svmLinear3,0.7131924299,8.628791966,,,,,,,,,,
3064,1,svmLinear3,0.7132373739,8.582022505,,,,,,,,,,
78,1,svmLinear3,0.7132972373,8.170525801,,,,,,,,,,
2294,1,svmLinear3,0.7133210768,8.285924497,,,,,,,,,,
1683,1,svmLinear3,0.7133303107,8.614649667,,,,,,,,,,
511,1,svmLinear3,0.7134095466,8.66839769,,,,,,,,,,
3865,1,svmLinear3,0.7134219958,8.52006975,,,,,,,,,,
2944,1,svmLinear3,0.7134273034,8.762099258,,,,,,,,,,
3141,1,svmLinear3,0.7134546859,8.72321049,,,,,,,,,,
14,1,svmLinear3,0.7135896665,8.730440519,,,,,,,,,,
459,1,svmLinear3,0.7137681024,8.722203376,,,,,,,,,,
804,1,svmLinear3,0.7137913886,8.451906664,,,,,,,,,,
3733,1,svmLinear3,0.7142394362,8.872007603,,,,,,,,,,
903,1,svmLinear3,0.7146415538,8.633710579,,,,,,,,,,
3240,1,svmLinear3,0.7147940379,8.67700841,,,,,,,,,,
2853,1,svmLinear3,0.7151796602,8.521016965,,,,,,,,,,
569,1,svmLinear3,0.7152439866,8.412482148,,,,,,,,,,
1524,1,svmLinear3,0.7153877748,8.615138066,,,,,,,,,,
1259,1,svmLinear3,0.7154053193,8.321442594,,,,,,,,,,
389,1,svmLinear3,0.7154630874,8.732793494,,,,,,,,,,
841,1,svmLinear3,0.7154993723,9.108799037,,,,,,,,,,
1630,1,svmLinear3,0.7155756008,8.555248085,,,,,,,,,,
2959,1,svmLinear3,0.7156156837,8.558781849,,,,,,,,,,
850,1,svmLinear3,0.7157846877,8.396906048,,,,,,,,,,
1687,1,svmLinear3,0.7160631388,8.547001151,,,,,,,,,,
