"id","Model","Status","elapsed_seconds","R2","MAE","RMSE","Error","dataset_seed","training_seed","threshold_scope","imputation_scope"
50,"bagEarthGCV","OK",37.729,0.739519886858607,0.0239811365443264,0.0304100989977953,"",50,1,"full_before_split","split_separate"
51,"bagEarthGCV","OK",37.194,0.554866592304681,0.027525212807447,0.036681680189683,"",51,1,"full_before_split","split_separate"
52,"bagEarthGCV","OK",37.337,0.612498188381858,0.0252214906990809,0.0341544455248791,"",52,1,"full_before_split","split_separate"
53,"bagEarthGCV","OK",37.893,0.700918759126394,0.0250671394423388,0.0329817704725289,"",53,1,"full_before_split","split_separate"
54,"bagEarthGCV","OK",38.358,0.680699903726035,0.025820244990625,0.032235943991658,"",54,1,"full_before_split","split_separate"
55,"bagEarthGCV","OK",38.161,0.669637727689965,0.0271766807885725,0.0353092834952828,"",55,1,"full_before_split","split_separate"
56,"bagEarthGCV","OK",37.67,0.639988815865394,0.026371369921629,0.034202036606957,"",56,1,"full_before_split","split_separate"
57,"bagEarthGCV","OK",37.992,0.703141602711943,0.023708023905261,0.0296094201561799,"",57,1,"full_before_split","split_separate"
58,"bagEarthGCV","OK",41.296,0.587809186308336,0.0267204291328747,0.0336707397413324,"",58,1,"full_before_split","split_separate"
59,"bagEarthGCV","OK",39.634,0.526275332208721,0.0285710253687351,0.0369802301309812,"",59,1,"full_before_split","split_separate"
60,"bagEarthGCV","OK",39.812,0.656426784888951,0.0276568029296146,0.0342439015946638,"",60,1,"full_before_split","split_separate"
61,"bagEarthGCV","OK",39.543,0.547674980882213,0.0269433158612631,0.0343139678482019,"",61,1,"full_before_split","split_separate"
62,"bagEarthGCV","OK",40.014,0.659099184557112,0.026291506677904,0.0349826501108984,"",62,1,"full_before_split","split_separate"
63,"bagEarthGCV","OK",39.453,0.605074003424679,0.028174931234074,0.0368024898285005,"",63,1,"full_before_split","split_separate"
64,"bagEarthGCV","OK",40.016,0.680113870443361,0.0240331298558302,0.0307381217110984,"",64,1,"full_before_split","split_separate"
65,"bagEarthGCV","OK",39.909,0.595488231876422,0.0277358802815037,0.0341065038470072,"",65,1,"full_before_split","split_separate"
66,"bagEarthGCV","OK",39.993,0.552637964599873,0.0279515695616955,0.0365367018076375,"",66,1,"full_before_split","split_separate"
67,"bagEarthGCV","OK",39.406,0.67304706947949,0.0241555331522666,0.0296675907578596,"",67,1,"full_before_split","split_separate"
68,"bagEarthGCV","OK",39.901,0.645780208293775,0.0279377972887352,0.0351421602924082,"",68,1,"full_before_split","split_separate"
69,"bagEarthGCV","OK",40.169,0.673606765790002,0.02689899843075,0.0328995917015447,"",69,1,"full_before_split","split_separate"
70,"bagEarthGCV","OK",40.046,0.74563615397256,0.0234545703411847,0.0312246345981668,"",70,1,"full_before_split","split_separate"
71,"bagEarthGCV","OK",40.214,0.538159304081392,0.0277070300279629,0.0363772760694073,"",71,1,"full_before_split","split_separate"
72,"bagEarthGCV","OK",40.534,0.564000870823508,0.0292898511578902,0.0381490482031957,"",72,1,"full_before_split","split_separate"
73,"bagEarthGCV","OK",39.532,0.666825922543329,0.0245213018371259,0.0321644339691829,"",73,1,"full_before_split","split_separate"
74,"bagEarthGCV","OK",40.488,0.587769102040137,0.0265731180216086,0.0373122528193321,"",74,1,"full_before_split","split_separate"
75,"bagEarthGCV","OK",39.495,0.6497537572701,0.02415275751372,0.0324013469574895,"",75,1,"full_before_split","split_separate"
76,"bagEarthGCV","OK",39.948,0.55651199196909,0.027111644085202,0.0353606855559352,"",76,1,"full_before_split","split_separate"
77,"bagEarthGCV","OK",39.909,0.650965394633149,0.026788359461572,0.0343298928025003,"",77,1,"full_before_split","split_separate"
78,"bagEarthGCV","OK",39.827,0.603276778645587,0.0263594790761404,0.0359730275711893,"",78,1,"full_before_split","split_separate"
79,"bagEarthGCV","OK",39.27,0.514365061238234,0.0300005704055921,0.0399579157318815,"",79,1,"full_before_split","split_separate"
80,"bagEarthGCV","OK",40.28,0.668196432579774,0.0262162712025976,0.0330329925434159,"",80,1,"full_before_split","split_separate"
81,"bagEarthGCV","OK",38.964,0.686557738960076,0.0242553980568909,0.0317638086055022,"",81,1,"full_before_split","split_separate"
82,"bagEarthGCV","OK",37.374,0.600648566420232,0.0284672036831015,0.037965674511212,"",82,1,"full_before_split","split_separate"
83,"bagEarthGCV","OK",37.627,0.608749407524377,0.0278446884592117,0.0350814665310856,"",83,1,"full_before_split","split_separate"
84,"bagEarthGCV","OK",37.272,0.528151079923967,0.027310410925968,0.0365200239755481,"",84,1,"full_before_split","split_separate"
85,"bagEarthGCV","OK",38.014,0.660137343567342,0.0241168798728655,0.0312021919070429,"",85,1,"full_before_split","split_separate"
86,"bagEarthGCV","OK",38.166,0.605892254722306,0.0277502357809289,0.0369437035548,"",86,1,"full_before_split","split_separate"
87,"bagEarthGCV","OK",37.404,0.600666060000423,0.0276839552019086,0.0370858493248885,"",87,1,"full_before_split","split_separate"
88,"bagEarthGCV","OK",38.419,0.588627986309934,0.0258465199161002,0.0331115909498719,"",88,1,"full_before_split","split_separate"
89,"bagEarthGCV","OK",38.041,0.687015000450394,0.023962579143399,0.0305209841906528,"",89,1,"full_before_split","split_separate"
90,"bagEarthGCV","OK",37.698,0.592821686207887,0.0251973009807398,0.0318805775216567,"",90,1,"full_before_split","split_separate"
91,"bagEarthGCV","OK",37.254,0.597507499783663,0.028437711555546,0.0374056329341875,"",91,1,"full_before_split","split_separate"
92,"bagEarthGCV","OK",37.659,0.620351593685131,0.0274355382349029,0.0346628680617856,"",92,1,"full_before_split","split_separate"
93,"bagEarthGCV","OK",37.383,0.59914793196002,0.0257276326263575,0.03369191500672,"",93,1,"full_before_split","split_separate"
94,"bagEarthGCV","OK",38.589,0.656654302295663,0.0269558344427728,0.0342837752542059,"",94,1,"full_before_split","split_separate"
95,"bagEarthGCV","OK",37.438,0.646867211734845,0.0258797420415263,0.0339936398815744,"",95,1,"full_before_split","split_separate"
96,"bagEarthGCV","OK",38.412,0.665824711359918,0.0245207987305453,0.0313206596637399,"",96,1,"full_before_split","split_separate"
97,"bagEarthGCV","OK",37.735,0.693380346724675,0.0248043936645156,0.0311946847418479,"",97,1,"full_before_split","split_separate"
98,"bagEarthGCV","OK",37.826,0.691485207024509,0.0244656249738984,0.0323958429696584,"",98,1,"full_before_split","split_separate"
99,"bagEarthGCV","OK",37.017,0.644379507969633,0.0262841486104295,0.0337208873308093,"",99,1,"full_before_split","split_separate"
100,"bagEarthGCV","OK",37.904,0.618879234731118,0.0268342516699919,0.0346752646849917,"",100,1,"full_before_split","split_separate"
101,"bagEarthGCV","OK",37.898,0.716305312147601,0.0234940756521879,0.0287907543304384,"",101,1,"full_before_split","split_separate"
102,"bagEarthGCV","OK",38.718,0.640026700292884,0.0256215293970679,0.0327204471625746,"",102,1,"full_before_split","split_separate"
103,"bagEarthGCV","OK",37.648,0.677010647858236,0.0252767242056069,0.0345227775233412,"",103,1,"full_before_split","split_separate"
104,"bagEarthGCV","OK",38.523,0.647410670111229,0.0273913635933905,0.0337553515161617,"",104,1,"full_before_split","split_separate"
105,"bagEarthGCV","OK",37.164,0.688236408220519,0.0259429147563784,0.0323104493687786,"",105,1,"full_before_split","split_separate"
106,"bagEarthGCV","OK",38.049,0.687706869724723,0.0250579927896273,0.0319295235030476,"",106,1,"full_before_split","split_separate"
107,"bagEarthGCV","OK",37.144,0.638521623209945,0.02546422131296,0.0332675551312056,"",107,1,"full_before_split","split_separate"
108,"bagEarthGCV","OK",38.099,0.623884645531727,0.0270527456054056,0.0336234527749892,"",108,1,"full_before_split","split_separate"
109,"bagEarthGCV","OK",37.738,0.597748433944712,0.0296417983812374,0.0382989792651511,"",109,1,"full_before_split","split_separate"
110,"bagEarthGCV","OK",38.053,0.628788348167397,0.0267054428242542,0.0348031797545765,"",110,1,"full_before_split","split_separate"
111,"bagEarthGCV","OK",37.373,0.606077200119731,0.0260440440499538,0.0350091547454961,"",111,1,"full_before_split","split_separate"
112,"bagEarthGCV","OK",37.427,0.561179533588834,0.0276891029090828,0.0363997913035621,"",112,1,"full_before_split","split_separate"
113,"bagEarthGCV","OK",38.238,0.655688464118485,0.0256814291599679,0.0346807623204316,"",113,1,"full_before_split","split_separate"
114,"bagEarthGCV","OK",37.21,0.65770855359571,0.0271170411505393,0.0351520067208014,"",114,1,"full_before_split","split_separate"
115,"bagEarthGCV","OK",37.377,0.587408870167496,0.0274043631016935,0.0351223394038143,"",115,1,"full_before_split","split_separate"
116,"bagEarthGCV","OK",37.836,0.622975312683137,0.0268759122026917,0.0337120171138546,"",116,1,"full_before_split","split_separate"
117,"bagEarthGCV","OK",38.134,0.659003074335386,0.0264924005423383,0.0331174124399308,"",117,1,"full_before_split","split_separate"
118,"bagEarthGCV","OK",38.363,0.65725904107951,0.024158145456117,0.0324832595992201,"",118,1,"full_before_split","split_separate"
119,"bagEarthGCV","OK",36.875,0.596398516804841,0.0292876894542456,0.0377575725083875,"",119,1,"full_before_split","split_separate"
120,"bagEarthGCV","OK",38.243,0.595595997246046,0.02870184642248,0.0372301669070222,"",120,1,"full_before_split","split_separate"
121,"bagEarthGCV","OK",37.718,0.665191217339023,0.0237645107193938,0.0305382077744626,"",121,1,"full_before_split","split_separate"
122,"bagEarthGCV","OK",37.919,0.667129127182176,0.0238917717075778,0.0324339788014282,"",122,1,"full_before_split","split_separate"
123,"bagEarthGCV","OK",37.473,0.697344308178453,0.0237745648670369,0.0305890908558649,"",123,1,"full_before_split","split_separate"
124,"bagEarthGCV","OK",38.359,0.679289419693952,0.024762131795619,0.0322727724170582,"",124,1,"full_before_split","split_separate"
125,"bagEarthGCV","OK",37.736,0.62952118337521,0.0270059864218057,0.0338820922081361,"",125,1,"full_before_split","split_separate"
126,"bagEarthGCV","OK",37.595,0.604559770649436,0.0270942796313895,0.0364203428408406,"",126,1,"full_before_split","split_separate"
127,"bagEarthGCV","OK",36.822,0.719049899346545,0.0242067131216071,0.0310847135484879,"",127,1,"full_before_split","split_separate"
128,"bagEarthGCV","OK",37.642,0.643125741737523,0.0265552550860634,0.0353485897679521,"",128,1,"full_before_split","split_separate"
129,"bagEarthGCV","OK",37.782,0.668833541712212,0.0267187741774343,0.0328560093834618,"",129,1,"full_before_split","split_separate"
130,"bagEarthGCV","OK",38.221,0.627443104697124,0.0263776330505214,0.035952399597614,"",130,1,"full_before_split","split_separate"
131,"bagEarthGCV","OK",37.415,0.568415819995514,0.0277125746673848,0.0357335011792605,"",131,1,"full_before_split","split_separate"
132,"bagEarthGCV","OK",37.456,0.61999068888552,0.0248087687770485,0.0332101249871439,"",132,1,"full_before_split","split_separate"
133,"bagEarthGCV","OK",38.253,0.717222804591018,0.0225336952796372,0.0297727314238009,"",133,1,"full_before_split","split_separate"
134,"bagEarthGCV","OK",37.558,0.609555933801601,0.0280992318395232,0.0379625464324236,"",134,1,"full_before_split","split_separate"
135,"bagEarthGCV","OK",37.826,0.623448456970008,0.0265037009845938,0.0347588737996171,"",135,1,"full_before_split","split_separate"
136,"bagEarthGCV","OK",38.194,0.610204729751757,0.0285120242908538,0.037574315860799,"",136,1,"full_before_split","split_separate"
137,"bagEarthGCV","OK",37.396,0.624767241205309,0.0268338816298174,0.0334104315360753,"",137,1,"full_before_split","split_separate"
138,"bagEarthGCV","OK",37.805,0.606979377682082,0.0259670675915074,0.0331560733426417,"",138,1,"full_before_split","split_separate"
139,"bagEarthGCV","OK",37.595,0.654549648690098,0.0249563414296706,0.0317511050051379,"",139,1,"full_before_split","split_separate"
140,"bagEarthGCV","OK",37.763,0.605681513905711,0.0272235944434855,0.0353373236228618,"",140,1,"full_before_split","split_separate"
141,"bagEarthGCV","OK",38.889,0.654340949220573,0.0240072847739637,0.031205643072041,"",141,1,"full_before_split","split_separate"
142,"bagEarthGCV","OK",37.312,0.621420803292994,0.0292556867598183,0.0387896497408448,"",142,1,"full_before_split","split_separate"
143,"bagEarthGCV","OK",38.198,0.647086914345264,0.0257048044736569,0.0332648333803164,"",143,1,"full_before_split","split_separate"
144,"bagEarthGCV","OK",36.824,0.616372632692335,0.0267409227917434,0.0361525533571608,"",144,1,"full_before_split","split_separate"
145,"bagEarthGCV","OK",38.036,0.63238685612271,0.0270609229192689,0.0349086028785653,"",145,1,"full_before_split","split_separate"
146,"bagEarthGCV","OK",37.981,0.654284271321674,0.0282056703282169,0.0348444871481277,"",146,1,"full_before_split","split_separate"
147,"bagEarthGCV","OK",37.912,0.572562032258154,0.0269993864566077,0.0331291794047064,"",147,1,"full_before_split","split_separate"
148,"bagEarthGCV","OK",38.04,0.601189880820764,0.0279582841855446,0.0364662657147853,"",148,1,"full_before_split","split_separate"
149,"bagEarthGCV","OK",38.603,0.610517223314094,0.0252732184427823,0.0342576213417726,"",149,1,"full_before_split","split_separate"
150,"bagEarthGCV","OK",38.243,0.707050207683908,0.0228626493105484,0.029215411506257,"",150,1,"full_before_split","split_separate"
151,"bagEarthGCV","OK",37.841,0.670526132435247,0.0263081767612161,0.0335965040119036,"",151,1,"full_before_split","split_separate"
152,"bagEarthGCV","OK",37.328,0.639957349022329,0.0266627907901252,0.0342766370302876,"",152,1,"full_before_split","split_separate"
153,"bagEarthGCV","OK",38.138,0.535104615961543,0.0278929670232917,0.0377010370778367,"",153,1,"full_before_split","split_separate"
154,"bagEarthGCV","OK",37.313,0.656570759562231,0.0270953499433919,0.0335636828998528,"",154,1,"full_before_split","split_separate"
155,"bagEarthGCV","OK",38.812,0.621580120196852,0.027922004100483,0.0347416767597147,"",155,1,"full_before_split","split_separate"
156,"bagEarthGCV","OK",37.604,0.636591124775223,0.0266596499600992,0.0345202079285855,"",156,1,"full_before_split","split_separate"
157,"bagEarthGCV","OK",37.321,0.691434569931502,0.0246421875902342,0.0328867873345124,"",157,1,"full_before_split","split_separate"
158,"bagEarthGCV","OK",37.477,0.666356615397618,0.0255847813459294,0.0336736403677062,"",158,1,"full_before_split","split_separate"
159,"bagEarthGCV","OK",37.987,0.508877413377737,0.0282824691176818,0.0362480147315693,"",159,1,"full_before_split","split_separate"
