"","age","cg04875128","cg01763090","cg03822622","cg11865208"
"GSM990397",80,0.2877505,0.2007655,0.434356,0.8425636
"GSM990398",83,0.4174954,0.1909854,0.3161757,0.8349802
"GSM990399",77,0.3270956,0.2057693,0.3638316,0.8475762
"GSM990400",76,0.3513306,0.2202475,0.3447709,0.850461
"GSM990401",64,0.3670814,0.2205079,0.3478104,0.8278309
"GSM990402",70,0.375738,0.2252606,0.3472556,0.8471842
"GSM990403",82,0.4377864,0.2269386,0.264766,0.8318049
"GSM990404",58,0.2942678,0.244437,0.4514225,0.8762922
"GSM990405",66,0.1386754,0.1760835,0.2810457,0.8484614
"GSM990406",85,0.3203364,0.1882898,0.3484881,0.8236011
"GSM990407",66,0.3471773,0.2134267,0.2983245,0.8053072
"GSM990408",69,0.3225357,0.2033593,0.3376784,0.793573
"GSM990409",84,0.3123583,0.1783333,0.3506405,0.8917469
"GSM990410",79,0.2541619,0.2064238,0.3354722,0.8371104
"GSM990411",64,0.3746873,0.1906514,0.3169241,0.8140108
"GSM990412",78,0.3711851,0.2309242,0.3597552,0.8185146
"GSM990413",53,0.3714842,0.1697592,0.3467468,0.806062
"GSM990414",59,0.3441746,0.1752051,0.3338083,0.877769
"GSM990415",65,0.3407889,0.1823145,0.3654079,0.857949
"GSM990416",61,0.4283274,0.1909226,0.3382606,0.8316172
"GSM990417",58,0.2899803,0.1777822,0.3197872,0.8312128
"GSM990418",69,0.4228497,0.2164749,0.355772,0.8436578
"GSM990419",60,0.2593438,0.1794517,0.3708704,0.8489065
"GSM990420",65,0.322243,0.1973145,0.3570681,0.8291668
"GSM990421",89,0.3492089,0.21471,0.3646111,0.865591
"GSM990422",74,0.3219805,0.1627971,0.4031599,0.9545316
"GSM990423",81,0.3294671,0.1823701,0.450307,0.9564492
"GSM990424",68,0.4046035,0.178914,0.4126538,0.8493934
"GSM990425",68,0.3404544,0.180077,0.3163556,0.8244909
"GSM990426",65,0.3021033,0.2286715,0.3295653,0.7948914
"GSM990427",90,0.4842061,0.2875229,0.356519,0.8278919
"GSM990428",66,0.3788778,0.1636207,0.33545,0.834739
"GSM990429",79,0.3256939,0.2277762,0.387738,0.8449132
"GSM990430",57,0.2682388,0.188296,0.3238764,0.8280865
"GSM990431",76,0.3694318,0.2031134,0.3087777,0.8469935
"GSM990432",79,0.3178852,0.2200344,0.3373288,0.8799933
"GSM990433",49,0.1449807,0.1977978,0.2818998,0.7752792
"GSM990434",92,0.4710459,0.2877311,0.3712787,0.7447466
"GSM990435",66,0.2765258,0.2102749,0.3468569,0.8209988
"GSM990436",59,0.2848745,0.1745604,0.3108217,0.8349651
"GSM990437",76,0.2689424,0.200599,0.3590322,0.8381075
"GSM990438",56,0.3092611,0.1976515,0.3796394,0.844857
"GSM990439",52,0.3516583,0.1812387,0.3507678,0.8386842
"GSM990440",65,0.4362798,0.2174639,0.3393922,0.8283594
"GSM990441",73,0.2821932,0.1868914,0.3791334,0.8249139
"GSM990442",65,0.3100203,0.1986944,0.3490292,0.8362409
"GSM990443",84,0.315599,0.2245194,0.3493953,0.8299603
"GSM990444",51,0.1827189,0.1638243,0.32485,0.8507509
"GSM990445",78,0.3498518,0.2260284,0.3632976,0.86063
"GSM990446",53,0.2882456,0.1841279,0.3500453,0.789577
"GSM990447",68,0.3808337,0.2252826,0.3332882,0.8479854
"GSM990448",52,0.266994,0.1886419,0.3493956,0.8307589
"GSM990449",72,0.3224556,0.2070587,0.400267,0.8156894
"GSM990450",48,0.1924456,0.1862193,0.3805285,0.7992715
"GSM990451",60,0.3270941,0.2035197,0.3857979,0.8348244
"GSM990452",61,0.5808716,0.3673125,0.4186507,0.8376267
"GSM990453",69,0.3799318,0.2076249,0.3906899,0.846132
"GSM990454",81,0.4123245,0.2282725,0.3128656,0.8355028
"GSM990455",56,0.2487251,0.181199,0.3843673,0.7973772
"GSM990456",79,0.2300054,0.1987799,0.3431028,0.7361826
"GSM990457",82,0.4290025,0.2343842,0.2980363,0.8440013
"GSM990458",58,0.2638295,0.1887453,0.344999,0.7945509
"GSM990459",75,0.427909,0.2226438,0.3659624,0.8192695
"GSM990460",78,0.2604716,0.1815837,0.3521758,0.815854
"GSM990461",57,0.3083983,0.1825369,0.3807354,0.8499901
"GSM990462",70,0.3492309,0.2095556,0.294294,0.8044733
"GSM990463",77,0.3895887,0.2004979,0.4113421,0.8220716
"GSM990464",56,0.2839861,0.1762004,0.3589242,0.796784
"GSM990465",67,0.3632933,0.202079,0.3886111,0.8331164
"GSM990466",76,0.3841473,0.2013433,0.3738976,0.8356482
"GSM990467",89,0.4390475,0.2039729,0.3267136,0.851819
"GSM990468",69,0.2922801,0.2216084,0.3262336,0.8640218
"GSM990469",79,0.2842403,0.2109194,0.4004358,0.8486259
"GSM990470",80,0.3946086,0.205683,0.331349,0.8023671
"GSM990471",76,0.2618375,0.1904107,0.404191,0.8720843
"GSM990472",48,0.2846555,0.1778492,0.3675787,0.8566806
"GSM990473",61,0.3050363,0.1736889,0.3766664,0.8181595
"GSM990474",52,0.1540267,0.1511051,0.3426318,0.8208536
"GSM990475",69,0.3342102,0.2433939,0.3635577,0.8269677
"GSM990476",41,0.4065189,0.1747924,0.3951107,0.8060231
"GSM990477",69,0.2864197,0.2000962,0.3013327,0.8104286
"GSM990478",65,0.3447903,0.1777227,0.3393682,0.8129209
"GSM990479",45,0.2134974,0.1512644,0.3037236,0.8177207
"GSM990480",66,0.1346965,0.1323794,0.3115479,0.8458915
"GSM990481",76,0.3524699,0.1995762,0.3286892,0.8189268
"GSM990482",76,0.3609975,0.1812606,0.2906994,0.8347111
"GSM990483",45,0.2359845,0.1366474,0.3632665,0.8331991
"GSM990484",71,0.3021878,0.1834462,0.3949569,0.7077953
"GSM990485",52,0.27681,0.1697614,0.3519654,0.8178896
"GSM990486",84,0.2950691,0.1580893,0.3863063,0.853002
"GSM990487",57,0.2118527,0.166109,0.3550481,0.8095573
"GSM990488",68,0.291166,0.2034919,0.3324044,0.8727721
"GSM990489",74,0.333287,0.2030208,0.3610961,0.8278016
"GSM990490",33,0.1611963,0.148871,0.3433293,0.773738
"GSM990491",68,0.3103859,0.2075543,0.3842831,0.8223698
"GSM990492",73,0.3839537,0.1972084,0.3683426,0.8380153
"GSM990493",79,0.3575084,0.1834443,0.3505075,0.8139026
"GSM990494",72,0.3288547,0.2480667,0.39814,0.8238517
"GSM990495",78,0.3318471,0.2290975,0.3908746,0.8371388
"GSM990496",68,0.3744784,0.2011135,0.346102,0.8443494
"GSM990497",52,0.3441825,0.1895654,0.371141,0.858803
"GSM990498",64,0.2789135,0.1844895,0.3465086,0.8401546
"GSM990499",27,0.06618253,0.140888,0.3433681,0.8215885
"GSM990500",29,0.09523153,0.1712081,0.3514165,0.8348905
"GSM990501",44,0.1678575,0.1717669,0.3345146,0.8357891
"GSM990502",41,0.222467,0.1800632,0.3452491,0.8106236
"GSM990503",45,0.1638556,0.1545409,0.3417828,0.7909042
"GSM990504",27,0.08983723,0.1482632,0.3574412,0.8387677
"GSM990505",48,0.1726661,0.1556859,0.3790127,0.8288527
"GSM990506",56,0.2358351,0.1849298,0.3362244,0.8377931
"GSM990507",34,0.1568152,0.1601049,0.3521443,0.8437586
"GSM990508",69,0.3204747,0.1834237,0.3831716,0.8524631
"GSM990509",56,0.2007785,0.1862156,0.3412282,0.6849524
"GSM990510",47,0.2209151,0.1659767,0.3078165,0.8066536
"GSM990511",56,0.3783765,0.1541948,0.3558956,0.8243757
"GSM990512",60,0.4150532,0.2213538,0.3444916,0.8742527
"GSM990513",75,0.3614724,0.2378473,0.3247763,0.8076178
"GSM990514",60,0.2835372,0.1766107,0.3892158,0.7839305
"GSM990515",47,0.2136117,0.1606571,0.3916097,0.8240928
"GSM990516",55,0.2568084,0.1533548,0.3100846,0.8452238
"GSM990517",32,0.1774818,0.171783,0.36287,0.8558183
"GSM990518",23,0.007882785,0.121734,0.3551596,0.8203151
"GSM990519",43,0.08087712,0.1484339,0.3272862,0.8533714
"GSM990520",47,0.2488941,0.1615596,0.3649258,0.7546355
"GSM990521",44,0.3597291,0.1778145,0.3738628,0.8011242
"GSM990522",37,0.3105066,0.1499147,0.3349566,0.8091288
"GSM990523",27,0.1859279,0.1131643,0.3318829,0.7627241
"GSM990524",69,0.3456648,0.1865628,0.3405629,0.792954
"GSM990525",28,0.1137315,0.1339168,0.3321488,0.7858843
"GSM990526",51,0.3645632,0.1920222,0.4380323,0.797287
"GSM990527",57,0.2655037,0.1821664,0.3727089,0.8147793
"GSM990528",19,0.09965532,0.1592882,0.3909635,0.8144072
"GSM990529",44,0.2538312,0.2120692,0.4091691,0.8390254
"GSM990530",49,0.2696696,0.2008399,0.4054134,0.8347514
"GSM990531",34,0.1149924,0.1507569,0.380191,0.8107519
"GSM990532",44,0.09829414,0.1658437,0.4169641,0.8200379
"GSM990533",62,0.2476984,0.2026684,0.4250195,0.86182
"GSM990534",30,0.1420216,0.1719202,0.3983035,0.8322546
"GSM990535",49,0.2408838,0.21064,0.3917598,0.8491297
"GSM990536",36,0.129096,0.1551642,0.3738362,0.8440204
"GSM990537",25,0.1450195,0.1468944,0.3568327,0.8262306
"GSM990538",36,0.1188906,0.1669781,0.3814466,0.8406078
"GSM990539",21,0.02869857,0.1660329,0.3614079,0.8073481
"GSM990540",40,0.1966806,0.1932988,0.3903438,0.8464825
"GSM990541",22,0.006043905,0.1431637,0.3435505,0.804664
"GSM990542",36,0.09057762,0.1737893,0.3795889,0.8148476
"GSM990543",58,0.2418111,0.1732403,0.3212388,0.7976992
"GSM990544",83,0.3208874,0.221383,0.333513,0.8540165
"GSM990545",69,0.3869498,0.2311437,0.3362149,0.8714393
"GSM990546",89,0.4106208,0.2326816,0.4420137,0.874487
"GSM990547",89,0.3790316,0.2271957,0.3784975,0.8443989
"GSM990548",66,0.2979267,0.2073734,0.393275,0.8356707
"GSM990549",55,0.3440758,0.2265368,0.4346258,0.8670975
"GSM990550",82,0.3380491,0.2110274,0.3968,0.8497986
"GSM990551",73,0.3393968,0.2163648,0.3850261,0.8600039
"GSM990552",77,0.2738464,0.1911162,0.3487889,0.8141146
"GSM990553",80,0.4023522,0.2245919,0.3721472,0.7969558
"GSM990554",79,0.3583868,0.2160488,0.4145669,0.8335702
"GSM990555",73,0.4535097,0.220315,0.3858896,0.8722829
"GSM990556",82,0.3685049,0.2885316,0.3990805,0.8228815
"GSM990557",85,0.3770753,0.2422951,0.3905823,0.8611966
"GSM990558",91,0.4056652,0.2599785,0.4273353,0.8622199
"GSM990559",85,0.4106832,0.2643214,0.4176882,0.8454782
"GSM990560",86,0.3977855,0.1889854,0.3874551,0.8376098
"GSM990561",74,0.3676792,0.2539006,0.4024841,0.8188511
"GSM990562",90,0.4105113,0.2416338,0.4152878,0.8735438
"GSM990563",87,0.463522,0.2292507,0.3641811,0.7928947
"GSM990564",76,0.4531441,0.2156964,0.3317105,0.777338
"GSM990565",81,0.02489002,0.2460473,0.3653822,0.8852966
"GSM990566",59,0.3301881,0.2162699,0.4035242,0.8146821
"GSM990567",73,0.3144892,0.2314591,0.4459991,0.8493944
"GSM990568",76,0.4442294,0.2008007,0.4370032,0.8389896
"GSM990569",85,0.4148128,0.2104462,0.320512,0.8680491
"GSM990570",69,0.3521011,0.2099538,0.3836129,0.8110567
"GSM990571",85,0.409466,0.2221009,0.3729717,0.8444201
"GSM990572",85,0.4485722,0.3066857,0.3757432,0.8198199
"GSM990573",84,0.4612721,0.2201176,0.5760438,0.9221923
"GSM990574",83,0.1359681,0.199771,0.3471656,0.8754454
"GSM990575",67,0.2934333,0.1973904,0.338423,0.768795
"GSM990576",85,0.4493486,0.2372254,0.3882084,0.7824939
"GSM990577",76,0.4155732,0.3098418,0.367371,0.8652784
"GSM990578",87,0.5009711,0.4564103,0.3121981,0.898289
"GSM990579",84,0.36613,0.2413029,0.3107049,0.8681657
"GSM990580",82,0.3481925,0.1988363,0.3970398,0.8358759
"GSM990581",93,0.4421671,0.3440977,0.4774571,0.8599586
"GSM990582",71,0.4191051,0.2281403,0.3823453,0.8469984
"GSM990583",80,0.4257455,0.2319381,0.4214133,0.8426944
"GSM990584",88,0.3008589,0.2740296,0.3397172,0.7994162
"GSM990585",72,0.3152362,0.2008523,0.3719543,0.7921315
"GSM990586",77,0.3479933,0.2250877,0.3699444,0.8440717
"GSM990587",56,0.3636397,0.1751615,0.4044368,0.8141674
"GSM990588",92,0.533818,0.2373895,0.3648662,0.8301697
"GSM990589",78,0.345365,0.2338237,0.3524305,0.8396901
"GSM990590",71,0.3503907,0.2080362,0.3788105,0.8641272
"GSM990591",89,0.3648007,0.2045149,0.3705403,0.8605703
"GSM990592",54,0.2436025,0.1770896,0.34644,0.856195
"GSM990593",66,0.363733,0.2043961,0.3763266,0.8224865
"GSM990594",75,0.317961,0.3051685,0.2991626,0.7839661
"GSM990595",90,0.4771814,0.2366643,0.4656572,0.9245169
"GSM990596",66,0.1810776,0.1725784,0.3566846,0.8601138
"GSM990597",77,0.2756015,0.1751661,0.4070525,0.8319155
"GSM990598",82,0.3366915,0.2408752,0.3839806,0.8136494
"GSM990599",65,0.3208689,0.2111905,0.3926216,0.865247
"GSM990600",58,0.3528452,0.2219734,0.4194571,0.8328583
"GSM990601",75,0.3755282,0.2303853,0.3904478,0.8280671
"GSM990602",88,0.3636018,0.2017502,0.3851684,0.8588172
"GSM990603",74,0.3619961,0.2462242,0.4064371,0.8382837
"GSM990604",69,0.3264276,0.2087493,0.3973216,0.8679041
"GSM990605",83,0.4610145,0.2281725,0.351556,0.7970735
"GSM990606",83,0.2402999,0.2271536,0.3781018,0.8381506
"GSM990607",70,0.3929686,0.2722829,0.4230126,0.7565774
"GSM990608",64,0.2813684,0.1852873,0.4164976,0.8454949
"GSM990609",50,0.3872737,0.2245322,0.4305468,0.8554683
"GSM990610",74,0.4402434,0.2478082,0.3451125,0.7489903
"GSM990611",69,0.3362284,0.1912622,0.4178111,0.848733
"GSM990612",86,0.3745098,0.2607382,0.4211539,0.729447
"GSM990613",66,0.349456,0.2049278,0.4667439,0.8667136
"GSM990614",70,0.3764428,0.2324816,0.459139,0.8380535
"GSM990615",89,0.4303484,0.3000077,0.3743566,0.8821055
"GSM990616",78,0.4377462,0.2795649,0.4433101,0.8874183
"GSM990617",69,0.394313,0.2275097,0.3973989,0.8435647
"GSM990618",64,0.3373973,0.1944878,0.3953942,0.8330948
"GSM990619",79,0.3185941,0.2418532,0.4062257,0.8272961
"GSM990620",92,0.3328807,0.2612229,0.3677514,0.8571825
"GSM990621",70,0.3267244,0.2331686,0.3457398,0.8562803
"GSM990622",77,0.4720162,0.2802516,0.5846771,0.9062447
"GSM990623",78,0.421347,0.2451728,0.3958488,0.8091794
"GSM990624",71,0.3990184,0.2375374,0.4103795,0.8062274
"GSM990625",68,0.3097664,0.2255388,0.382614,0.8452723
"GSM990626",61,0.2006796,0.1917351,0.373824,0.8077421
"GSM990627",73,0.4848047,0.2026621,0.4223019,0.8270534
