"Sample","Ground_Truth","Predicted","Difference"
"GSM989827","67","73.3137333333333",6.3137333333333
"GSM989828","89","68.4256666666667",-20.5743333333333
"GSM989829","66","71.8893666666667",5.8893666666667
"GSM989830","64","74.7741333333333",10.7741333333333
"GSM989831","62","74.8076666666667",12.8076666666667
"GSM989832","87","70.5965333333333",-16.4034666666667
"GSM989833","73","75.6572666666667",2.6572666666667
"GSM989834","75","69.9866666666666",-5.01333333333341
"GSM989835","73","79.5969333333334",6.5969333333334
"GSM989836","83","71.3646333333333",-11.6353666666667
"GSM989837","82","76.9271666666667",-5.07283333333331
"GSM989838","48","65.7388",17.7388
"GSM989839","77","70.0336333333333",-6.9663666666667
"GSM989840","54","70.1128333333334",16.1128333333334
"GSM989841","63","72.8819666666666",9.8819666666666
"GSM989842","71","73.4209666666667",2.4209666666667
"GSM989843","68","71.9284666666667",3.92846666666669
"GSM989844","80","70.8129",-9.1871
"GSM989845","92","71.6913333333333",-20.3086666666667
"GSM989846","60","71.0045333333333",11.0045333333333
"GSM989847","79","76.6626333333333",-2.3373666666667
"GSM989848","68","73.4474333333333",5.44743333333329
"GSM989849","93","78.2144666666667",-14.7855333333333
"GSM989850","84","71.9449333333333",-12.0550666666667
"GSM989851","74","77.0786333333333",3.0786333333333
"GSM989852","74","77.2001333333334",3.2001333333334
"GSM989853","76","76.3584",0.358400000000003
"GSM989854","56","77.2834666666667",21.2834666666667
"GSM989855","72","74.4902333333333",2.49023333333329
"GSM989856","75","77.1167666666667",2.11676666666671
"GSM989857","79","77.2420666666667",-1.7579333333333
"GSM989858","73","71.7941",-1.2059
"GSM989859","82","78.9326333333334",-3.0673666666666
"GSM989860","74","73.3432",-0.656800000000004
"GSM989861","79","68.3618",-10.6382
"GSM989862","54","71.6925333333333",17.6925333333333
"GSM989863","101","72.6423333333333",-28.3576666666667
"GSM989864","79","79.6829666666667",0.682966666666701
"GSM989865","84","76.2677333333334",-7.7322666666666
"GSM989866","85","74.8835333333333",-10.1164666666667
"GSM989867","87","70.0440333333333",-16.9559666666667
"GSM989868","74","70.9497666666667",-3.0502333333333
"GSM989869","77","79.1796333333333",2.1796333333333
"GSM989870","73","72.6819666666666",-0.318033333333403
"GSM989871","87","74.5527333333334",-12.4472666666666
"GSM989872","85","73.9226333333334",-11.0773666666666
"GSM989873","88","77.7606000000001",-10.2393999999999
"GSM989874","66","76.1839333333333",10.1839333333333
"GSM989875","78","78.0795",0.0794999999999959
"GSM989876","53","69.7218333333333",16.7218333333333
"GSM989877","76","71.8813",-4.1187
"GSM989878","67","73.0903333333333",6.09033333333331
"GSM989879","73","73.4308666666667",0.430866666666702
"GSM989880","54","75.5807666666667",21.5807666666667
"GSM989881","73","77.7835666666667",4.7835666666667
"GSM989882","96","78.96",-17.04
"GSM989883","57","73.9588",16.9588
"GSM989884","76","77.2471666666667",1.2471666666667
"GSM989885","47","67.0764333333333",20.0764333333333
"GSM989886","54","72.8445",18.8445
"GSM989887","73","74.0565333333333",1.05653333333331
"GSM989888","84","77.9302666666667",-6.0697333333333
"GSM989889","62","75.9228666666666",13.9228666666666
"GSM989890","89","74.8144333333333",-14.1855666666667
"GSM989891","68","73.6970666666667",5.6970666666667
"GSM989892","62","66.7384333333333",4.7384333333333
"GSM989893","79","76.2233666666666",-2.77663333333339
"GSM989894","72","72.9937",0.993700000000004
"GSM989895","69","75.3516333333334",6.3516333333334
