"id","Model","R2","MAE","RMSE","Dataset.seed","Training.seed","Threshold.scope","Imputation.scope"
60,"svmRadialCost",0.00250564470935859,18.191674663832,21.3506019263738,60,1,"full_before_split","split_separate"
61,"svmRadialCost",0.0088959521941803,19.0137756952344,22.4797103611725,61,1,"full_before_split","split_separate"
62,"svmRadialCost",0.0389922975826855,16.9967094119694,20.4070758731086,62,1,"full_before_split","split_separate"
63,"svmRadialCost",0.00271574994607685,17.9913872792254,20.9715698023952,63,1,"full_before_split","split_separate"
64,"svmRadialCost",0.00172117235892303,18.4992059267614,21.7599796949272,64,1,"full_before_split","split_separate"
65,"svmRadialCost",0.00196177769757988,17.5447852547872,20.8153368553148,65,1,"full_before_split","split_separate"
66,"svmRadialCost",2.08938092830422e-06,18.4421590039355,21.7076543826806,66,1,"full_before_split","split_separate"
67,"svmRadialCost",1.20212347752234e-05,18.151571628976,21.6623541477056,67,1,"full_before_split","split_separate"
68,"svmRadialCost",1.56869605252684e-05,17.9655936486633,21.3989355485513,68,1,"full_before_split","split_separate"
69,"svmRadialCost",0.0097855479311109,18.2981938647693,21.3781594589882,69,1,"full_before_split","split_separate"
70,"svmRadialCost",0.00536941396544766,17.773778560469,21.1549457354595,70,1,"full_before_split","split_separate"
71,"svmRadialCost",0.0020626368022486,18.4265425234046,21.8473850071303,71,1,"full_before_split","split_separate"
72,"svmRadialCost",0.00395014791457902,18.2238145925197,21.2325605136828,72,1,"full_before_split","split_separate"
73,"svmRadialCost",0.00133763141663901,18.1773628336366,21.4384786238918,73,1,"full_before_split","split_separate"
74,"svmRadialCost",0.00682484633972542,18.0566502490149,21.9381649500318,74,1,"full_before_split","split_separate"
75,"svmRadialCost",0.0215563025157309,16.9531275349496,20.8094915207763,75,1,"full_before_split","split_separate"
76,"svmRadialCost",0.0084093416991018,17.8356638533104,21.2020051246204,76,1,"full_before_split","split_separate"
77,"svmRadialCost",0.0096776584589068,17.7129260171935,21.0316333062465,77,1,"full_before_split","split_separate"
78,"svmRadialCost",0.0169535378019379,17.8080241268431,20.9523322352607,78,1,"full_before_split","split_separate"
79,"svmRadialCost",0.00600905317519463,17.9463155268376,21.0786224598242,79,1,"full_before_split","split_separate"
80,"svmRadialCost",0.000343475248824825,18.4964041525282,21.4088698190821,80,1,"full_before_split","split_separate"
81,"svmRadialCost",0.0234231062215728,17.7957107469949,20.3869345006452,81,1,"full_before_split","split_separate"
82,"svmRadialCost",0.0236712312192782,18.650556187247,21.6096508373876,82,1,"full_before_split","split_separate"
83,"svmRadialCost",0.00572979182503139,17.3802588313698,21.2250342620776,83,1,"full_before_split","split_separate"
84,"svmRadialCost",0.00125881477496787,18.3531683735068,21.516817126714,84,1,"full_before_split","split_separate"
85,"svmRadialCost",0.000301457526476797,18.3724696243979,21.7373713175016,85,1,"full_before_split","split_separate"
86,"svmRadialCost",0.0357536474418301,17.6661747370086,21.189925340976,86,1,"full_before_split","split_separate"
87,"svmRadialCost",0.0170955347754264,17.58403543999,20.8107268627877,87,1,"full_before_split","split_separate"
88,"svmRadialCost",0.000789440382042839,17.6746404183214,20.7174325013017,88,1,"full_before_split","split_separate"
89,"svmRadialCost",0.0304729657850574,17.204803158084,19.9265196191843,89,1,"full_before_split","split_separate"
90,"svmRadialCost",0.000615166917331352,17.4067822802787,20.6377711948488,90,1,"full_before_split","split_separate"
91,"svmRadialCost",0.00188957780790718,18.0078516841598,21.1786157030289,91,1,"full_before_split","split_separate"
92,"svmRadialCost",0.0248633949309081,18.103647017686,21.1634454959713,92,1,"full_before_split","split_separate"
93,"svmRadialCost",0.00465727045589814,17.5718235107397,20.7835278042599,93,1,"full_before_split","split_separate"
94,"svmRadialCost",0.00802522229426089,17.3802697079477,20.6816717259972,94,1,"full_before_split","split_separate"
95,"svmRadialCost",3.42756527798533e-06,18.9784984231934,22.2004080083766,95,1,"full_before_split","split_separate"
96,"svmRadialCost",0.0231969875857561,19.2755898328696,22.7413885066013,96,1,"full_before_split","split_separate"
97,"svmRadialCost",0.00159081487928107,18.9833564240955,22.4241875079991,97,1,"full_before_split","split_separate"
98,"svmRadialCost",0.000639261689913585,17.851768979164,21.3568783483281,98,1,"full_before_split","split_separate"
99,"svmRadialCost",0.0369618400944813,17.6223393944831,20.6509478233163,99,1,"full_before_split","split_separate"
100,"svmRadialCost",0.020353225573348,17.2544545332657,20.095159742269,100,1,"full_before_split","split_separate"
